key,Remarks,level,receiveLimit
1,,1,5
2,,2,5
3,,3,5
4,,4,5
5,,5,5
6,,6,5
7,,7,5
8,,8,5
9,,9,5
10,,10,5
11,,11,10
12,,12,10
13,,13,10
14,,14,10
15,,15,10
16,,16,10
17,,17,10
18,,18,10
19,,19,10
20,,20,10
21,,21,20
22,,22,20
23,,23,20
24,,24,20
25,,25,20
26,,26,20
27,,27,20
28,,28,20
29,,29,20
30,,30,20
31,,31,20
32,,32,20
33,,33,20
34,,34,20
35,,35,20
36,,36,20
37,,37,20
38,,38,20
39,,39,20
40,,40,20
41,,41,20
42,,42,20
43,,43,20
44,,44,20
45,,45,20
46,,46,20
47,,47,20
48,,48,20
49,,49,20
50,,50,20
51,,51,20
52,,52,20
53,,53,20
54,,54,20
55,,55,20
56,,56,20
57,,57,20
58,,58,20
59,,59,20
60,,60,20
61,,61,20
62,,62,20
63,,63,20
64,,64,20
65,,65,20
66,,66,20
67,,67,20
68,,68,20
69,,69,20
70,,70,20
71,,71,20
72,,72,20
73,,73,20
74,,74,20
75,,75,20
76,,76,20
77,,77,20
78,,78,20
79,,79,20
80,,80,20
81,,81,20
82,,82,20
83,,83,20
84,,84,20
85,,85,20
86,,86,20
87,,87,20
88,,88,20
89,,89,20
90,,90,20
91,,91,20
92,,92,20
93,,93,20
94,,94,20
95,,95,20
96,,96,20
97,,97,20
98,,98,20
99,,99,20
100,,100,20
