key,Remarks,minQualityLevel,maxQualityLevel,excludeList
DropMissing10001,,,,"1,6"
DropMissing10002,,,1,"1,6"
DropMissing10003,,,2,"1,6"
DropMissing10004,,,3,"1,6"
DropMissing10005,,,4,"1,6"
DropMissing10006,,,5,"1,6"
DropMissing10007,,,6,"1,6"
DropMissing10008,,,7,"1,6"
DropMissing10009,,,8,"1,6"
DropMissing10010,,,9,"1,6"
DropMissing10011,,,10,"1,6"
DropMissing10012,,,11,"1,6"
DropMissing10013,,,12,"1,6"
DropMissing10009,,,13,"1,6"
DropMissing10010,,,14,"1,6"
DropMissing10011,,,15,"1,6"
DropMissing10012,,,16,"1,6"
DropMissing10013,,,17,"1,6"
DropMissing10013,,,18,"1,6"
DropMissing10051,,,,"1,6"
DropMissing10052,,1,1,"1,6"
DropMissing10053,,2,2,"1,6"
DropMissing10054,,3,3,"1,6"
DropMissing10055,,4,4,"1,6"
DropMissing10056,,5,5,"1,6"
DropMissing10057,,6,6,"1,6"
DropMissing10058,,7,7,"1,6"
DropMissing10059,,8,8,"1,6"
DropMissing10060,,9,9,"1,6"
DropMissing10061,,10,10,"1,6"
DropMissing10062,,11,11,"1,6"
DropMissing10063,,12,12,"1,6"
DropMissing10064,,13,13,"1,6"
DropMissing10065,,14,14,"1,6"
DropMissing10066,,15,15,"1,6"
DropMissing10067,,16,16,"1,6"
DropMissing10068,,17,17,"1,6"
DropMissing10069,,18,18,"1,6"
DropMissing10101,,,,
DropMissing10102,,1,1,
DropMissing10103,,1,2,
DropMissing10104,,1,3,
DropMissing10105,,4,4,
DropMissing10106,,4,5,
DropMissing10107,,4,6,
DropMissing10108,,4,7,
DropMissing10109,,8,8,
DropMissing10110,,8,9,
DropMissing10111,,8,10,
DropMissing10112,,8,11,
DropMissing10113,,8,12,
DropMissing10114,,8,13,
DropMissing10115,,8,14,
DropMissing10116,,8,15,
DropMissing10117,,8,16,
DropMissing10118,,8,17,
DropMissing10119,,8,18,
DropMissing10151,,,,
DropMissing10152,,1,1,
DropMissing10153,,2,2,
DropMissing10154,,3,3,
DropMissing10155,,4,4,
DropMissing10156,,5,5,
DropMissing10157,,6,6,
DropMissing10158,,7,7,
DropMissing10159,,8,8,
DropMissing10160,,9,9,
DropMissing10161,,10,10,
DropMissing10162,,11,11,
DropMissing10163,,12,12,
DropMissing10164,,13,13,
DropMissing10165,,14,14,
DropMissing10166,,15,15,
DropMissing10167,,16,16,
DropMissing10168,,17,17,
DropMissing10169,,18,18,
DropMissing10151,,,,
DropMissing10152,,1,1,
DropMissing10153,,1,2,"1,6"
DropMissing10154,,1,3,"1,6"
DropMissing10155,,4,4,"1,6"
DropMissing10156,,4,5,"1,6"
DropMissing10157,,4,6,"1,6"
DropMissing10158,,4,7,"1,6"
DropMissing10159,,8,8,"1,6"
DropMissing10160,,8,9,"1,6"
DropMissing10161,,8,10,"1,6"
DropMissing10162,,8,11,"1,6"
DropMissing10163,,8,12,"1,6"
DropMissing10164,,8,13,"1,6"
DropMissing10165,,8,14,"1,6"
DropMissing10166,,8,15,"1,6"
DropMissing10167,,8,16,"1,6"
DropMissing10168,,8,17,"1,6"
DropMissing10169,,8,18,"1,6"
