key,Remarks,month,day,groupId,heroModelId
1,,1,1,11,202006_4
2,,1,2,11,200012_4
3,,1,3,11,200009_4
4,,1,4,11,203013_4
5,,1,5,11,202010_4
6,,1,6,11,203011_4
7,,1,7,11,202006_4
8,,1,8,11,200012_4
9,,1,9,11,200009_4
10,,1,10,11,203013_4
11,,1,11,11,202010_4
12,,1,12,11,203011_4
13,,1,13,11,202006_4
14,,1,14,11,200012_4
15,,1,15,11,200009_4
16,,1,16,11,203013_4
17,,1,17,11,202010_4
18,,1,18,11,203011_4
19,,1,19,11,202006_4
20,,1,20,11,200012_4
21,,1,21,11,200009_4
22,,1,22,11,203013_4
23,,1,23,11,202010_4
24,,1,24,11,203011_4
25,,1,25,11,202006_4
26,,1,26,11,200012_4
27,,1,27,11,200009_4
28,,1,28,11,203013_4
29,,1,29,11,202010_4
30,,1,30,11,203011_4
31,,1,31,11,202006_4
32,,2,1,11,200012_4
33,,2,2,11,200009_4
34,,2,3,11,203013_4
35,,2,4,11,202010_4
36,,2,5,11,203011_4
37,,2,6,11,202006_4
38,,2,7,11,200012_4
39,,2,8,11,200009_4
40,,2,9,11,203013_4
41,,2,10,11,202010_4
42,,2,11,11,203011_4
43,,2,12,11,202006_4
44,,2,13,11,200012_4
45,,2,14,11,200009_4
46,,2,15,11,203013_4
47,,2,16,11,202010_4
48,,2,17,11,203011_4
49,,2,18,11,202006_4
50,,2,19,11,200012_4
51,,2,20,11,200009_4
52,,2,21,11,203013_4
53,,2,22,11,202010_4
54,,2,23,11,203011_4
55,,2,24,11,202006_4
56,,2,25,11,200012_4
57,,2,26,11,200009_4
58,,2,27,11,203013_4
59,,2,28,11,202010_4
60,,2,29,11,203011_4
61,,3,1,11,202006_4
62,,3,2,11,200012_4
63,,3,3,11,200009_4
64,,3,4,11,203013_4
65,,3,5,11,202010_4
66,,3,6,11,203011_4
67,,3,7,11,202006_4
68,,3,8,11,200012_4
69,,3,9,11,200009_4
70,,3,10,11,203013_4
71,,3,11,11,202010_4
72,,3,12,11,203011_4
73,,3,13,11,202006_4
74,,3,14,11,200012_4
75,,3,15,11,200009_4
76,,3,16,11,203013_4
77,,3,17,11,202010_4
78,,3,18,11,203011_4
79,,3,19,11,202006_4
80,,3,20,11,200012_4
81,,3,21,11,200009_4
82,,3,22,11,203013_4
83,,3,23,11,202010_4
84,,3,24,11,203011_4
85,,3,25,11,202006_4
86,,3,26,11,200012_4
87,,3,27,11,200009_4
88,,3,28,11,203013_4
89,,3,29,11,202010_4
90,,3,30,11,203011_4
91,,3,31,11,202006_4
92,,4,1,11,200012_4
93,,4,2,11,200009_4
94,,4,3,11,203013_4
95,,4,4,11,202010_4
96,,4,5,11,203011_4
97,,4,6,11,202006_4
98,,4,7,11,200012_4
99,,4,8,11,200009_4
100,,4,9,11,203013_4
101,,4,10,11,202010_4
102,,4,11,11,203011_4
103,,4,12,11,202006_4
104,,4,13,11,200012_4
105,,4,14,11,200009_4
106,,4,15,11,203013_4
107,,4,16,11,202010_4
108,,4,17,11,203011_4
109,,4,18,11,202006_4
110,,4,19,11,200012_4
111,,4,20,11,200009_4
112,,4,21,11,203013_4
113,,4,22,11,202010_4
114,,4,23,11,203011_4
115,,4,24,11,202006_4
116,,4,25,11,200012_4
117,,4,26,11,200009_4
118,,4,27,11,203013_4
119,,4,28,11,202010_4
120,,4,29,11,203011_4
121,,4,30,11,202006_4
122,,5,1,11,200012_4
123,,5,2,11,200009_4
124,,5,3,11,203013_4
125,,5,4,11,202010_4
126,,5,5,11,203011_4
127,,5,6,11,202006_4
128,,5,7,11,200012_4
129,,5,8,11,200009_4
130,,5,9,11,203013_4
131,,5,10,11,202010_4
132,,5,11,11,203011_4
133,,5,12,11,202006_4
134,,5,13,11,200012_4
135,,5,14,11,200009_4
136,,5,15,11,203013_4
137,,5,16,11,202010_4
138,,5,17,11,203011_4
139,,5,18,11,202006_4
140,,5,19,11,200012_4
141,,5,20,11,200009_4
142,,5,21,11,203013_4
143,,5,22,11,202010_4
144,,5,23,11,203011_4
145,,5,24,11,202006_4
146,,5,25,11,200012_4
147,,5,26,11,200009_4
148,,5,27,11,203013_4
149,,5,28,11,202010_4
150,,5,29,11,203011_4
151,,5,30,11,202006_4
152,,5,31,11,200012_4
153,,6,1,11,200009_4
154,,6,2,11,203013_4
155,,6,3,11,202010_4
156,,6,4,11,203011_4
157,,6,5,11,202006_4
158,,6,6,11,200012_4
159,,6,7,11,200009_4
160,,6,8,11,203013_4
161,,6,9,11,202010_4
162,,6,10,11,203011_4
163,,6,11,11,202006_4
164,,6,12,11,200012_4
165,,6,13,11,200009_4
166,,6,14,11,203013_4
167,,6,15,11,202010_4
168,,6,16,11,203011_4
169,,6,17,11,202006_4
170,,6,18,11,200012_4
171,,6,19,11,200009_4
172,,6,20,11,203013_4
173,,6,21,11,202010_4
174,,6,22,11,203011_4
175,,6,23,11,202006_4
176,,6,24,11,200012_4
177,,6,25,11,200009_4
178,,6,26,11,203013_4
179,,6,27,11,202010_4
180,,6,28,11,203011_4
181,,6,29,11,202006_4
182,,6,30,11,200012_4
183,,7,1,11,200009_4
184,,7,2,11,203013_4
185,,7,3,11,202010_4
186,,7,4,11,203011_4
187,,7,5,11,202006_4
188,,7,6,11,200012_4
189,,7,7,11,200009_4
190,,7,8,11,203013_4
191,,7,9,11,202010_4
192,,7,10,11,203011_4
193,,7,11,11,202006_4
194,,7,12,11,200012_4
195,,7,13,11,200009_4
196,,7,14,11,203013_4
197,,7,15,11,202010_4
198,,7,16,11,203011_4
199,,7,17,11,202006_4
200,,7,18,11,200012_4
201,,7,19,11,200009_4
202,,7,20,11,203013_4
203,,7,21,11,202010_4
204,,7,22,11,203011_4
205,,7,23,11,202006_4
206,,7,24,11,200012_4
207,,7,25,11,200009_4
208,,7,26,11,203013_4
209,,7,27,11,202010_4
210,,7,28,11,203011_4
211,,7,29,11,202006_4
212,,7,30,11,200012_4
213,,7,31,11,200009_4
214,,8,1,11,203013_4
215,,8,2,11,202010_4
216,,8,3,11,203011_4
217,,8,4,11,202006_4
218,,8,5,11,200012_4
219,,8,6,11,200009_4
220,,8,7,11,203013_4
221,,8,8,11,202010_4
222,,8,9,11,203011_4
223,,8,10,11,202006_4
224,,8,11,11,200012_4
225,,8,12,11,200009_4
226,,8,13,11,203013_4
