key,remark,id,breakId,nextId,isOtherId,plotId,closeIds,guideGroup,force,stopBattleShow,targetType,target,uiType,uiSetting,desc,uiTurn,openLevel,openType,openParam,open1Type,open1Param,closeLevel,closeType,closeParam
100010,,100010,100050,100020,,,,10000,1,,1,Icon_202002,,-10_25,,,1,-1,,-1,,7,-1,
100020,,100020,100050,100030,,,,10000,1,,1,Icon_201001,,-10_25,,,-1,-1,,-1,,7,-1,
100030,,100030,100050,100040,,,,10000,1,,1,Icon_204001,,-10_25,,,-1,-1,,-1,,7,-1,
100040,,100040,100050,100050,,,,10000,1,,1,MagicButton,,-10_25,,,-1,-1,,-1,,7,-1,
100050,,100050,100050,100051,,100000_1,,10000,1,,2,Altar_Building,,-5_230,,,-1,-1,,-1,,7,-1,
100051,,100051,100050,100060,,,,10000,1,,1,Middle,,-10_25,,,-1,-1,,-1,,7,-1,
100060,,100060,100050,100070,,,,10000,1,,1,BuyButtonOne,,-10_25,,,-1,-1,,-1,,7,-1,
100070,,100070,,100071,,,,10000,1,,1,SureButton,,-10_25,,,-1,-1,,-1,,7,-1,
100071,,100071,,100080,,,,10000,1,,1,ConfirmBtn,,-10_25,,,-1,-1,,-1,,7,-1,
100080,,100080,,100090,,,,10000,1,,1,BtnClose,,-10_25,,,-1,-1,,-1,,7,-1,
100090,,100090,100090,100100,,,,10000,1,,1,Battle,,-10_25,,,-1,-1,,-1,,7,-1,
100100,,100100,100090,100110,,,,10000,1,,1,StagePart_110101/Button/Down,2,"-10_25,324_157",作战计划已经准备好了！选择第一关开始我们的封神之旅！,,-1,-1,,-1,,7,-1,
100110,,100110,100090,100120,,,,10000,1,,1,EnterMercConfig,,-10_25,,,-1,-1,,-1,,7,-1,
100120,,100120,100090,100130,,,,10000,1,,1,Hero_202001_2,2,"-10_25,-329_360",请点击头像，选择姜太公，让他与您一起出战。,,-1,-1,,-1,,7,-1,
100130,,100130,10100090,100140,,,,10000,1,,1,Hero_200003_2,,-10_25,,,-1,-1,,-1,,7,-1,
100140,,100140,11100090,100150,,,,10000,1,,1,ChuZhan,,-10_25,,,-1,-1,,-1,,7,-1,
100150,,100150,,100180,,,,10000,1,,1,MagicButton,,-10_25,,,-1,-1,,-1,,7,-1,
100180,,100180,12100090,100190,,,,10000,1,,,,,,,,,,,,,,,
100190,,100190,,100200,,,,10000,1,,1,UI_RoleUgrade(Clone)/offset/QueDing,,-10_25,,,-1,-1,,-1,,7,-1,
100200,,100200,,100210,,,,10000,1,,1,ToIndex,,-10_25,,,-1,-1,,-1,,7,-1,
100210,,100210,10100160,100220,,,,10000,1,,1,StagePart_110102/Button/Up,2,"-10_25,478_153",继续前进吧！,,-1,-1,,-1,,7,-1,
100220,,100220,10100160,100230,,,,10000,1,,1,EnterMercConfig,,-10_25,,,-1,-1,,-1,,7,-1,
100230,,100230,10100160,100240,,,,10000,1,,1,ChuZhan,,-10_25,,,-1,-1,,-1,,7,-1,
100240,,100240,10100160,100250,,,,10000,1,,,,,,,,,,,,,,,
100250,,100250,,100260,,,,10000,1,,1,UI_RoleUgrade(Clone)/offset/QueDing,,-10_25,,,-1,-1,,-1,,7,-1,
100260,,100260,,100270,,,,10000,1,,1,ToIndex,,-10_25,,,-1,-1,,-1,,7,-1,
