Key,Remarks,id,cost,composeLevel,composeType,mate1Type,mate1Id,mate1Count,mate2Type,mate2Id,mate2Count,mate3Type,mate3Id,mate3Count,mate4Type,mate4Id,mate4Count,mate5Type,mate5Id,mate5Count,attrDesc
602001,,602001,162500,1,,1,604001,30,,,,,,,,,,,,,
602002,,602002,162500,1,,1,604002,40,,,,,,,,,,,,,
602003,,602003,28750,1,,1,604003,150,,,,,,,,,,,,,
602004,,602004,11250,1,,1,604004,20,,,,,,,,,,,,,
602005,,602005,11250,1,,1,604005,5,,,,,,,,,,,,,
602006,,602006,28750,1,,1,604006,10,,,,,,,,,,,,,
602007,,602007,28750,1,,1,604007,10,,,,,,,,,,,,,
602008,,602008,11250,1,,1,604008,5,,,,,,,,,,,,,
602009,,602009,28750,1,,1,604009,10,,,,,,,,,,,,,
602010,,602010,72500,1,,1,604010,20,,,,,,,,,,,,,
602011,,602011,28750,1,,1,604011,10,,,,,,,,,,,,,
602012,,602012,72500,1,,1,604012,20,,,,,,,,,,,,,
602013,,602013,28750,1,,1,604013,10,,,,,,,,,,,,,
602014,,602014,28750,1,,1,604014,10,,,,,,,,,,,,,
602015,,602015,28750,1,,1,604015,10,,,,,,,,,,,,,
602016,,602016,72500,1,,1,604016,300,,,,,,,,,,,,,
602017,,602017,72500,1,,1,604017,20,,,,,,,,,,,,,
602027,,602027,162500,1,,1,604027,40,,,,,,,,,,,,,
603999,,603999,162500,1,,1,604999,40,,,,,,,,,,,,,
800002,,800002,500,20,,1,800001,2,,,,,,,,,,,,,
800003,,800003,1000,25,,1,800002,2,,,,,,,,,,,,,
800004,,800004,1500,30,,1,800003,2,,,,,,,,,,,,,
800005,,800005,2000,35,,1,800004,2,,,,,,,,,,,,,
800006,,800006,2500,38,,1,800005,2,,,,,,,,,,,,,
800007,,800007,3000,40,,1,800006,2,,,,,,,,,,,,,
800008,,800008,3500,45,,1,800007,2,,,,,,,,,,,,,
800009,,800009,4000,50,,1,800008,2,,,,,,,,,,,,,
800110,,800110,4500,58,,1,800009,2,,,,,,,,,,,,,
800111,,800111,5000,68,,1,800110,2,,,,,,,,,,,,,
800112,,800112,5500,75,,1,800111,2,,,,,,,,,,,,,
800113,,800113,6000,80,,1,800112,2,,,,,,,,,,,,,
800114,,800114,6500,85,,1,800113,2,,,,,,,,,,,,,
800115,,800115,7000,90,,1,800114,2,,,,,,,,,,,,,
800012,,800012,500,20,,1,800011,2,,,,,,,,,,,,,
800013,,800013,1000,25,,1,800012,2,,,,,,,,,,,,,
800014,,800014,1500,30,,1,800013,2,,,,,,,,,,,,,
800015,,800015,2000,35,,1,800014,2,,,,,,,,,,,,,
800016,,800016,2500,38,,1,800015,2,,,,,,,,,,,,,
800017,,800017,3000,40,,1,800016,2,,,,,,,,,,,,,
800018,,800018,3500,45,,1,800017,2,,,,,,,,,,,,,
800019,,800019,4000,50,,1,800018,2,,,,,,,,,,,,,
800220,,800220,4500,58,,1,800019,2,,,,,,,,,,,,,
800221,,800221,5000,68,,1,800220,2,,,,,,,,,,,,,
800222,,800222,5500,75,,1,800221,2,,,,,,,,,,,,,
800223,,800223,6000,80,,1,800222,2,,,,,,,,,,,,,
800224,,800224,6500,85,,1,800223,2,,,,,,,,,,,,,
800225,,800225,7000,90,,1,800224,2,,,,,,,,,,,,,
800022,,800022,500,20,,1,800021,2,,,,,,,,,,,,,
800023,,800023,1000,25,,1,800022,2,,,,,,,,,,,,,
800024,,800024,1500,30,,1,800023,2,,,,,,,,,,,,,
800025,,800025,2000,35,,1,800024,2,,,,,,,,,,,,,
800026,,800026,2500,38,,1,800025,2,,,,,,,,,,,,,
800027,,800027,3000,40,,1,800026,2,,,,,,,,,,,,,
800028,,800028,3500,45,,1,800027,2,,,,,,,,,,,,,
800029,,800029,4000,50,,1,800028,2,,,,,,,,,,,,,
800330,,800330,4500,58,,1,800029,2,,,,,,,,,,,,,
800331,,800331,5000,68,,1,800330,2,,,,,,,,,,,,,
800332,,800332,5500,75,,1,800331,2,,,,,,,,,,,,,
800333,,800333,6000,80,,1,800332,2,,,,,,,,,,,,,
800334,,800334,6500,85,,1,800333,2,,,,,,,,,,,,,
800335,,800335,7000,90,,1,800334,2,,,,,,,,,,,,,
800032,,800032,500,20,,1,800031,2,,,,,,,,,,,,,
800033,,800033,1000,25,,1,800032,2,,,,,,,,,,,,,
800034,,800034,1500,30,,1,800033,2,,,,,,,,,,,,,
800035,,800035,2000,35,,1,800034,2,,,,,,,,,,,,,
800036,,800036,2500,38,,1,800035,2,,,,,,,,,,,,,
800037,,800037,3000,40,,1,800036,2,,,,,,,,,,,,,
800038,,800038,3500,45,,1,800037,2,,,,,,,,,,,,,
800039,,800039,4000,50,,1,800038,2,,,,,,,,,,,,,
800440,,800440,4500,58,,1,800039,2,,,,,,,,,,,,,
800441,,800441,5000,68,,1,800440,2,,,,,,,,,,,,,
800442,,800442,5500,75,,1,800441,2,,,,,,,,,,,,,
800443,,800443,6000,80,,1,800442,2,,,,,,,,,,,,,
800444,,800444,6500,85,,1,800443,2,,,,,,,,,,,,,
800445,,800445,7000,90,,1,800444,2,,,,,,,,,,,,,
800042,,800042,500,20,,1,800041,2,,,,,,,,,,,,,
800043,,800043,1000,25,,1,800042,2,,,,,,,,,,,,,
