Key,Remarks,itemId,levelIds,trial,shop,unlink,gainDesc
708001,,708001,,,,由关卡星级宝箱获得,
704001,,704001,"120703,120805,121001",,0,"钓鱼台（购买初、中级经验丹有几率获得）

心魔录、日常任务",
704002,,704002,"120706,120902,121004",,4,"钓鱼台（购买中级经验丹有几率获得）

心魔录",
704003,,704003,"120802,120904,121006",,7,"钓鱼台（购买中级经验丹有几率获得）

心魔录",
704004,,704004,"120101,120403,120506",,0,"钓鱼台（购买初、中级经验丹有几率获得）

心魔录、任务",
704005,,704005,,,,钓鱼台（购买高级经验丹有几率获得）,
704029,,704029,,,,"钓鱼台（购买高级经验丹有几率获得）

贵族礼包",
704006,,704006,,,,"钓鱼台（购买初、中、高级经验丹有几率获得）

心魔录",
704007,,704007,,,,"钓鱼台（购买初、中、高级经验丹有几率获得）

心魔录",
704999,,704999,,,,,此道具暂不由关卡掉落
704008,,704008,"121201,121301,121401",,,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704009,,704009,"120401,120504,120606",,0,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704010,,704010,"121406,121506,121606",,1,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704011,,704011,"120302,120502,120604",,6,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704012,,704012,,,,钓鱼台（购买高级经验丹有几率获得）,
704013,,704013,"120704,120806,121002",,5,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704014,,704014,"120702,120804,120906",,1,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704015,,704015,"121105,121205,121305",,,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704016,,704016,"120402,120505,120701",,4,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704017,,704017,"121102,121202,121302",,,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704018,,704018,"120303,120503,120605",,6,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704019,,704019,"120301,120501,120603",,0,"钓鱼台（购买初、中级经验丹有几率获得）

心魔录",
704020,,704020,"121405,121505,121605",,3,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704021,,704021,,,,钓鱼台（购买高级经验丹有几率获得）,
704022,,704022,"121403,121503,121603",,,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704023,,704023,,,3,"钓鱼台（购买中级经验丹有几率获得）

天尊锦囊",
704024,,704024,"120705,120901,121003",,5,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704025,,704025,"121103,121203,121303",,,钓鱼台（购买高级经验丹有几率获得）,
704026,,704026,"121404,121504,121604",,,钓鱼台（购买中、高级经验丹有几率获得）,
704027,,704027,"121104,121204,121304",,7,"钓鱼台（购买中、高级经验丹有几率获得）

心魔录",
704028,,704028,,,,钓鱼台（购买高级经验丹有几率获得）,
704030,,704030,"120801,120903,121005",,,,
704031,,704031,,,,"钓鱼台（购买高级经验丹有几率获得）

贵族礼包",
704032,,704032,,,,钓鱼台（购买高级经验丹有几率获得）,
704033,,704033,,,,,
704034,,704034,,,,,
704035,,704035,"121402,121502,121602",,2,钓鱼台（购买中、高级经验丹有几率获得）,
704036,,704036,,,,,
704037,,704037,"121501,121601",,,,
704038,,704038,"120803,120905,121101",,2,钓鱼台（购买高级经验丹有几率获得）,
704039,,704039,"121106,121206,121306",,,钓鱼台（购买高级经验丹有几率获得）,
704040,,704040,"120201,120404,120601",,,"钓鱼台（购买初、中、高级经验丹有几率获得）

心魔录",
704041,,704041,"120202,120405,120602",,,"钓鱼台（购买初、中、高级经验丹有几率获得）

心魔录",
700001,,700001,110102,,,,
700002,,700002,110306,,,,
700003,,700003,,,,,此道具暂不由关卡掉落
700004,,700004,,,,,此道具暂不由关卡掉落
700005,,700005,,,,,此道具暂不由关卡掉落
700006,,700006,,,,,此道具暂不由关卡掉落
700007,,700007,,,,,此道具暂不由关卡掉落
700008,,700008,,,,,此道具暂不由关卡掉落
700009,,700009,,,,,此道具暂不由关卡掉落
700010,,700010,,,,,此道具暂不由关卡掉落
700011,,700011,,,,,此道具暂不由关卡掉落
700012,,700012,,,,,此道具暂不由关卡掉落
700013,,700013,110201,,,,
700014,,700014,110402,,,,
700015,,700015,,,,,此道具暂不由关卡掉落
700016,,700016,,,,,此道具暂不由关卡掉落
700017,,700017,,,,,此道具暂不由关卡掉落
700018,,700018,,,,,此道具暂不由关卡掉落
700019,,700019,,,,,此道具暂不由关卡掉落
700020,,700020,,,,,此道具暂不由关卡掉落
700021,,700021,,,,,此道具暂不由关卡掉落
700022,,700022,,,,,此道具暂不由关卡掉落
700023,,700023,,,,,此道具暂不由关卡掉落
700024,,700024,,,,,此道具暂不由关卡掉落
700025,,700025,110302,,,,
700026,,700026,110404,,,,
700027,,700027,,,,,此道具暂不由关卡掉落
700028,,700028,,,,,此道具暂不由关卡掉落
700029,,700029,,,,,此道具暂不由关卡掉落
700030,,700030,,,,,此道具暂不由关卡掉落
700031,,700031,,,,,此道具暂不由关卡掉落
700032,,700032,,,,,此道具暂不由关卡掉落
700033,,700033,,,,,此道具暂不由关卡掉落
700034,,700034,,,,,此道具暂不由关卡掉落
700035,,700035,,,,,此道具暂不由关卡掉落
700036,,700036,,,,,此道具暂不由关卡掉落
700037,,700037,110203,,,,
700038,,700038,110406,,,,
700039,,700039,,,,,此道具暂不由关卡掉落
700040,,700040,,,,,此道具暂不由关卡掉落
