Key,Remarks,id,name,consumeType,quality,icon,atlas,enchantExp,priority,stackNum,description,sellPrice,composeItemID,composeNeedNum,composeCostCoin,attrDesc
702004,,702004,巨阙剑碎片,5,4,Equipment/700004,Icon,2,39999,999999,用于合成巨阙剑,200,700004,3,140,
702005,,702005,昆吾刀碎片,5,5,Equipment/700005,Icon,2,39599,999999,用于合成昆吾刀,250,700005,5,180,
702006,,702006,承影剑碎片,5,6,Equipment/700006,Icon,2,39499,999999,用于合成承影剑,300,700006,12,220,
702007,,702007,大夏龙雀碎片,5,8,Equipment/700007,Icon,2,39399,999999,用于合成大夏龙雀,400,700007,15,600,
702008,,702008,干将莫邪碎片,5,9,Equipment/700008,Icon,2,39299,999999,用于合成干将莫邪,450,700008,25,1950,
702009,,702009,苗刀之祖碎片,5,11,Equipment/700009,Icon,3,39199,999999,用于合成苗刀之祖,550,700009,35,5400,
702010,,702010,七星龙渊碎片,5,13,Equipment/700010,Icon,6,39099,999999,用于合成七星龙渊,650,700010,45,8900,
702011,,702011,青龙偃月碎片,5,15,Equipment/700011,Icon,6,38999,999999,用于合成青龙偃月,750,700011,70,12450,
702012,,702012,轩辕夏禹剑碎片,5,17,Equipment/700012,Icon,6,38899,999999,用于合成轩辕夏禹剑,850,700012,95,16300,
702056,,702056,铁骨朵锤碎片,5,4,Equipment/700056,Icon,2,39998,999999,用于合成铁骨朵锤,200,700016,3,140,
702017,,702017,火龙枪碎片,5,5,Equipment/700017,Icon,2,39598,999999,用于合成火龙枪,250,700017,5,180,
702058,,702058,斗大银锤碎片,5,6,Equipment/700058,Icon,2,39498,999999,用于合成斗大银锤,300,700018,12,220,
702019,,702019,蟠龙金枪碎片,5,8,Equipment/700019,Icon,2,39398,999999,用于合成蟠龙金枪,400,700019,15,600,
702020,,702020,干戚神斧碎片,5,9,Equipment/700020,Icon,2,39298,999999,用于合成干戚神斧,450,700020,25,1950,
702021,,702021,沥泉神矛碎片,5,11,Equipment/700021,Icon,3,39198,999999,用于合成沥泉神矛,550,700021,35,5400,
702022,,702022,五丁开山碎片,5,13,Equipment/700022,Icon,6,39098,999999,用于合成五丁开山,650,700022,45,8900,
702023,,702023,丈八点刚矛碎片,5,15,Equipment/700023,Icon,6,38998,999999,用于合成丈八点刚矛,750,700023,70,12450,
702024,,702024,盘古开山斧碎片,5,17,Equipment/700024,Icon,6,38898,999999,用于合成盘古开山斧,850,700024,95,16300,
702052,,702052,六韬三略碎片,5,4,Equipment/700052,Icon,2,39997,999999,用于合成六韬三略,200,700028,3,140,
702029,,702029,神臂弓碎片,5,5,Equipment/700029,Icon,2,39597,999999,用于合成神臂弓,250,700029,5,180,
702031,,702031,诸葛连弩碎片,5,6,Equipment/700031,Icon,2,39497,999999,用于合成诸葛连弩,300,700030,12,220,
702030,,702030,混元斗碎片,5,8,Equipment/700030,Icon,2,39397,999999,用于合成混元斗,400,700031,15,600,
702032,,702032,诛仙剑图碎片,5,9,Equipment/700032,Icon,2,39297,999999,用于合成诛仙剑图,450,700032,25,1950,
702033,,702033,养由基弓碎片,5,11,Equipment/700033,Icon,3,39197,999999,用于合成养由基弓,550,700033,35,5400,
702034,,702034,七宝妙树碎片,5,13,Equipment/700034,Icon,6,39097,999999,用于合成七宝妙树,650,700034,45,8900,
702035,,702035,射雕弯弓碎片,5,15,Equipment/700035,Icon,6,38997,999999,用于合成射雕弯弓,750,700035,70,12450,
702036,,702036,五福玉如意碎片,5,17,Equipment/700036,Icon,6,38897,999999,用于合成五福玉如意,850,700036,95,16300,
702041,,702041,天师杖碎片,5,4,Equipment/700041,Icon,2,39996,999999,用于合成天师杖,200,700040,3,140,
702040,,702040,达摩杖碎片,5,5,Equipment/700040,Icon,2,39596,999999,用于合成达摩杖,250,700041,5,180,
702049,,702049,四书五经碎片,5,6,Equipment/700049,Icon,2,39496,999999,用于合成四书五经,300,700042,12,220,
702043,,702043,混元法杖碎片,5,8,Equipment/700043,Icon,2,39396,999999,用于合成混元法杖,400,700043,15,600,
702044,,702044,上古魔杖碎片,5,9,Equipment/700044,Icon,2,39296,999999,用于合成上古魔杖,450,700044,25,1950,
702045,,702045,莲台法杖碎片,5,11,Equipment/700045,Icon,3,39196,999999,用于合成莲台法杖,550,700045,35,5400,
702046,,702046,魔罗法杖碎片,5,13,Equipment/700046,Icon,6,39096,999999,用于合成魔罗法杖,650,700046,45,8900,
702047,,702047,拂尘魔杖碎片,5,15,Equipment/700047,Icon,6,38996,999999,用于合成拂尘魔杖,750,700047,70,12450,
702048,,702048,雾露乾坤杖碎片,5,17,Equipment/700048,Icon,6,38896,999999,用于合成雾露乾坤杖,850,700048,95,16300,
702065,,702065,仙杏石碎片,5,5,Equipment/700065,Icon,2,39995,999999,用于合成仙杏石,250,700065,3,180,
702066,,702066,开天珠碎片,5,6,Equipment/700066,Icon,2,39495,999999,用于合成开天珠,300,700066,8,220,
702067,,702067,月游石晶碎片,5,8,Equipment/700067,Icon,2,39395,999999,用于合成月游石晶,400,700067,10,600,
702068,,702068,离火灵珠碎片,5,9,Equipment/700068,Icon,2,39295,999999,用于合成离火灵珠,450,700068,20,1950,
702069,,702069,宝莲玉晶碎片,5,11,Equipment/700069,Icon,3,39195,999999,用于合成宝莲玉晶,550,700069,25,5400,
702070,,702070,重水宝珠碎片,5,13,Equipment/700070,Icon,6,39095,999999,用于合成重水宝珠,650,700070,30,8900,
702071,,702071,五彩玉石碎片,5,15,Equipment/700071,Icon,6,38995,999999,用于合成五彩玉石,750,700071,45,12450,
702072,,702072,天地日月珠碎片,5,17,Equipment/700072,Icon,6,38895,999999,用于合成天地日月珠,850,700072,65,16300,
702087,,702087,归墟骨幡碎片,5,5,Equipment/700087,Icon,2,39994,999999,用于合成归墟骨幡,250,700077,3,180,
702078,,702078,乌烈罩碎片,5,6,Equipment/700078,Icon,2,39494,999999,用于合成乌烈罩,300,700078,8,220,
702088,,702088,勾魂夺魄碎片,5,8,Equipment/700088,Icon,2,39394,999999,用于合成勾魂夺魄,400,700079,10,600,
702089,,702089,骨灵森森碎片,5,9,Equipment/700089,Icon,2,39294,999999,用于合成骨灵森森,450,700080,20,1950,
702081,,702081,两仪手套碎片,5,11,Equipment/700081,Icon,3,39194,999999,用于合成两仪手套,550,700081,25,5400,
702082,,702082,四象面纱碎片,5,13,Equipment/700082,Icon,6,39094,999999,用于合成四象面纱,650,700082,30,8900,
702083,,702083,上古护手碎片,5,15,Equipment/700083,Icon,6,38994,999999,用于合成上古护手,750,700083,45,12450,
702084,,702084,洪荒金龙罩碎片,5,17,Equipment/700084,Icon,6,38894,999999,用于合成洪荒金龙罩,850,700084,65,16300,
702092,,702092,逐日靴碎片,5,1,Equipment/700092,Icon,2,39993,999999,用于合成逐日靴,50,700092,3,100,
702093,,702093,炽焰神靴碎片,5,4,Equipment/700093,Icon,2,39493,999999,用于合成炽焰神靴,200,700093,5,140,
702094,,702094,御风神靴碎片,5,8,Equipment/700094,Icon,2,39293,999999,用于合成御风神靴,400,700094,20,600,
702095,,702095,九州神行履碎片,5,13,Equipment/700095,Icon,6,39093,999999,用于合成九州神行履,650,700095,45,8900,
702096,,702096,步云履碎片,5,1,Equipment/700096,Icon,2,39992,999999,用于合成步云履,50,700096,3,100,
702097,,702097,乌光神靴碎片,5,4,Equipment/700097,Icon,2,39492,999999,用于合成乌光神靴,200,700097,5,140,
702098,,702098,紫光神靴碎片,5,8,Equipment/700098,Icon,2,39292,999999,用于合成紫光神靴,400,700098,20,600,
702099,,702099,天罡正气履碎片,5,13,Equipment/700099,Icon,6,39092,999999,用于合成天罡正气履,650,700099,45,8900,
702103,,702103,沧海盔碎片,5,4,Equipment/700103,Icon,2,39991,999999,用于合成沧海盔,200,700103,3,140,
702104,,702104,龙鳞盔碎片,5,5,Equipment/700104,Icon,2,39591,999999,用于合成龙鳞盔,250,700104,5,180,
702105,,702105,狂战盔碎片,5,6,Equipment/700105,Icon,2,39491,999999,用于合成狂战盔,300,700105,12,220,
702127,,702127,白虎铠碎片,5,8,Equipment/700127,Icon,2,39391,999999,用于合成白虎铠,400,700106,15,600,
702107,,702107,星辰头盔碎片,5,9,Equipment/700107,Icon,2,39291,999999,用于合成星辰头盔,450,700107,25,1950,
702108,,702108,贪狼头盔碎片,5,11,Equipment/700108,Icon,3,39191,999999,用于合成贪狼头盔,550,700108,35,5400,
702109,,702109,破军头盔碎片,5,13,Equipment/700109,Icon,6,39091,999999,用于合成破军头盔,650,700109,45,8900,
702110,,702110,地煞头盔碎片,5,15,Equipment/700110,Icon,6,38991,999999,用于合成地煞头盔,750,700110,70,12450,
702111,,702111,紫薇罡气盔碎片,5,17,Equipment/700111,Icon,6,38891,999999,用于合成紫薇罡气盔,850,700111,95,16300,
702141,,702141,金乌带碎片,5,4,Equipment/700141,Icon,2,39990,999999,用于合成金乌带,200,700115,3,140,
702116,,702116,八荒袍碎片,5,5,Equipment/700116,Icon,2,39590,999999,用于合成八荒袍,250,700116,5,180,
702117,,702117,金乌袍碎片,5,6,Equipment/700117,Icon,2,39490,999999,用于合成金乌袍,300,700117,12,220,
702118,,702118,出尘披风碎片,5,8,Equipment/700118,Icon,2,39390,999999,用于合成出尘披风,400,700118,15,600,
702119,,702119,化羽披风碎片,5,9,Equipment/700119,Icon,2,39290,999999,用于合成化羽披风,450,700119,25,1950,
702120,,702120,神风披风碎片,5,11,Equipment/700120,Icon,3,39190,999999,用于合成神风披风,550,700120,35,5400,
702121,,702121,玄魄披风碎片,5,13,Equipment/700121,Icon,6,39090,999999,用于合成玄魄披风,650,700121,45,8900,
702122,,702122,汇灵披风碎片,5,15,Equipment/700122,Icon,6,38990,999999,用于合成汇灵披风,750,700122,70,12450,
702123,,702123,烈火屠龙披碎片,5,17,Equipment/700123,Icon,6,38890,999999,用于合成烈火屠龙披,850,700123,95,16300,
702106,,702106,幽冥头盔碎片,5,4,Equipment/700106,Icon,2,39989,999999,用于合成幽冥头盔,200,700127,3,140,
702128,,702128,朱雀铠碎片,5,5,Equipment/700128,Icon,2,39589,999999,用于合成朱雀铠,250,700128,5,180,
702129,,702129,青龙铠碎片,5,6,Equipment/700129,Icon,2,39489,999999,用于合成青龙铠,300,700129,12,220,
702130,,702130,银鳞胸甲碎片,5,8,Equipment/700130,Icon,2,39389,999999,用于合成银鳞胸甲,400,700130,15,600,
702131,,702131,炎蟒胸甲碎片,5,9,Equipment/700131,Icon,2,39289,999999,用于合成炎蟒胸甲,450,700131,25,1950,
702132,,702132,斩影胸甲碎片,5,11,Equipment/700132,Icon,3,39189,999999,用于合成斩影胸甲,550,700132,35,5400,
702133,,702133,噬魂胸甲碎片,5,13,Equipment/700133,Icon,6,39089,999999,用于合成噬魂胸甲,650,700133,45,8900,
702134,,702134,冶炼胸甲碎片,5,15,Equipment/700134,Icon,6,38989,999999,用于合成冶炼胸甲,750,700134,70,12450,
