Key,Remarks,id,name,consumeType,enchantExp,quality,stackNum,icon,atlas,composeTargetId,composeCount,description,sellPrice,attrDesc,fk
704001,,704001,魂石(姜子牙),7,,4,999999,Hero_head/head_JiangZiYa,Icon,202001,30,收集30个魂石可以召唤2星姜子牙，同时也是姜子牙升星的必备材料,10,,2
704002,,704002,魂石(哪吒),7,,4,999999,Hero_head/head_NeZha,Icon,202002,30,收集30个魂石可以召唤2星哪吒，同时也是哪吒升星的必备材料,10,,2
704003,,704003,魂石(杨戬),7,,4,999999,Hero_head/head_YangJian,Icon,201001,30,收集30个魂石可以召唤2星杨戬，同时也是杨戬升星的必备材料,10,,2
704004,,704004,魂石(龙吉公主),7,,4,999999,Hero_head/head_LongJiGongZhu,Icon,204001,10,收集10个魂石可以召唤1星龙吉公主，同时也是龙吉公主升星的必备材料,10,,1
704005,,704005,魂石(琼霄),7,,4,999999,Hero_head/head_QiongXiao,Icon,203001,140,收集140个魂石可以召唤4星琼霄，同时也是琼霄升星的必备材料,10,,4
704006,,704006,魂石(雷系拳手),7,,4,999999,Hero_head/head_ZhengLun,Icon,201002,900,收集900个魂石可以召唤1星雷系拳手，同时也是雷系拳手升星的必备材料,10,,1
704007,,704007,魂石(火系拳手),7,,4,999999,Hero_head/head_ChenQi,Icon,201003,900,收集900个魂石可以召唤1星火系拳手，同时也是火系拳手升星的必备材料,10,,1
704999,,704999,魂石(测试陈奇),7,,4,999999,Hero_head/head_ChenQi,Icon,202003,900,收集900个魂石可以召唤1星测试陈奇，同时也是测试陈奇升星的必备材料,10,,1
704008,,704008,魂石(魔礼青),7,,4,999999,Hero_head/head_MoLiQing,Icon,201005,60,收集60个魂石可以召唤3星魔礼青，同时也是魔礼青升星的必备材料,10,,3
704009,,704009,魂石(木吒),7,,4,999999,Hero_head/head_MuZha,Icon,201004,10,收集10个魂石可以召唤1星木吒，同时也是木吒升星的必备材料,10,,1
704010,,704010,魂石(雷震子),7,,4,999999,Hero_head/head_LeiZhenZi,Icon,202004,60,收集60个魂石可以召唤3星雷震子，同时也是雷震子升星的必备材料,10,,3
704011,,704011,魂石(李靖),7,,4,999999,Hero_head/head_LiJing,Icon,204004,10,收集10个魂石可以召唤1星李靖，同时也是李靖升星的必备材料,10,,1
704012,,704012,魂石(燃灯道人),7,,4,999999,Hero_head/head_RanDeng,Icon,202006,140,收集140个魂石可以召唤4星燃灯道人，同时也是燃灯道人升星的必备材料,10,,4
704013,,704013,魂石(武吉),7,,4,999999,Hero_head/head_WuJi,Icon,204003,30,收集30个魂石可以召唤2星武吉，同时也是武吉升星的必备材料,10,,2
704014,,704014,魂石(李兴霸),7,,4,999999,Hero_head/head_LiXingBa,Icon,203002,30,收集30个魂石可以召唤2星李兴霸，同时也是李兴霸升星的必备材料,10,,2
704015,,704015,魂石(魔礼寿),7,,4,999999,Hero_head/head_MoLiShou,Icon,203003,60,收集60个魂石可以召唤3星魔礼寿，同时也是魔礼寿升星的必备材料,10,,3
704016,,704016,魂石(杨森),7,,4,999999,Hero_head/head_YangSen,Icon,200002,30,收集30个魂石可以召唤2星杨森，同时也是杨森升星的必备材料,10,,2
704017,,704017,魂石(魔礼红),7,,4,999999,Hero_head/head_MoLiHong,Icon,204006,60,收集60个魂石可以召唤3星魔礼红，同时也是魔礼红升星的必备材料,10,,3
704018,,704018,魂石(金吒),7,,4,999999,Hero_head/head_JinZha,Icon,200001,10,收集10个魂石可以召唤1星金吒，同时也是金吒升星的必备材料,10,,1
704019,,704019,魂石(韦护),7,,4,999999,Hero_head/head_WeiHu,Icon,200003,10,收集10个魂石可以召唤1星韦护，同时也是韦护升星的必备材料,10,,1
704020,,704020,魂石(云中子),7,,4,999999,Hero_head/head_YunZhongZi,Icon,202005,60,收集60个魂石可以召唤3星云中子，同时也是云中子升星的必备材料,10,,3
704021,,704021,魂石(黄龙真人),7,,4,999999,Hero_head/head_HuangLongZhenRen,Icon,200009,140,收集140个魂石可以召唤4星黄龙真人，同时也是黄龙真人升星的必备材料,10,,4
704022,,704022,魂石(魔礼海),7,,4,999999,Hero_head/head_MoLiHai,Icon,200004,60,收集60个魂石可以召唤3星魔礼海，同时也是魔礼海升星的必备材料,10,,3
704023,,704023,魂石(道行天尊),7,,4,999999,Hero_head/head_DaoXingTianZun,Icon,200010,30,收集30个魂石可以召唤2星道行天尊，同时也是道行天尊升星的必备材料,10,,2
704024,,704024,魂石(高友乾),7,,4,999999,Hero_head/head_GaoYouGan,Icon,204005,30,收集30个魂石可以召唤2星高友乾，同时也是高友乾升星的必备材料,10,,2
704025,,704025,魂石(董天君),7,,4,999999,Hero_head/head_DongTianJun,Icon,201007,60,收集60个魂石可以召唤3星董天君，同时也是董天君升星的必备材料,10,,3
704026,,704026,魂石(广成子),7,,4,999999,Hero_head/head_GuangChengZi,Icon,203010,60,收集60个魂石可以召唤3星广成子，同时也是广成子升星的必备材料,10,,3
704027,,704027,魂石(喜媚儿),7,,4,999999,Hero_head/head_XiMeiEr,Icon,204002,60,收集60个魂石可以召唤3星喜媚儿，同时也是喜媚儿升星的必备材料,10,,3
704028,,704028,魂石(申公豹),7,,4,999999,Hero_head/head_ShenGongBao,Icon,203013,140,收集140个魂石可以召唤4星申公豹，同时也是申公豹升星的必备材料,10,,4
704029,,704029,魂石(妲己),7,,4,999999,Hero_head/head_DaJi,Icon,203004,60,收集60个魂石可以召唤3星妲己，同时也是妲己升星的必备材料,10,,3
704030,,704030,魂石(王魔),7,,4,999999,Hero_head/head_WangMo,Icon,202003,30,收集30个魂石可以召唤2星王魔，同时也是王魔升星的必备材料,10,,2
704031,,704031,魂石(闻仲),7,,4,999999,Hero_head/head_WenZhong,Icon,200012,140,收集140个魂石可以召唤4星闻仲，同时也是闻仲升星的必备材料,10,,4
704032,,704032,魂石(灵宝大法师),7,,4,999999,Hero_head/head_LingBaoDaFaShi,Icon,202010,140,收集140个魂石可以召唤4星灵宝大法师，同时也是灵宝大法师升星的必备材料,10,,4
704033,,704033,魂石(赤精子),7,,4,999999,Hero_head/head_DaJi,Icon,203009,900,收集900个魂石可以召唤1星赤精子，同时也是赤精子升星的必备材料,10,,1
704034,,704034,魂石(普贤真人),7,,4,999999,Hero_head/head_PuXianZhenRen,Icon,203011,140,收集140个魂石可以召唤4星普贤真人，同时也是普贤真人升星的必备材料,10,,4
