key,remarks,nameIcon,desc,id,layerID,rate,icon,buffDec,buffId,cost
1,,生命,增加全体2%生命,1,101,100,Skill/shengming,生命+2%,70000001,1
2,,物理攻击,增加全体2%物理攻击,2,101,100,Skill/wuligongji,物理攻击+2%,70000002,1
3,,法术攻击,增加全体2%法术攻击,3,101,100,Skill/fashugongji,法术攻击+2%,70000003,1
4,,物理防御,增加全体2%物理防御,4,101,100,Skill/wulifangyu,物理防御+2%,70000004,1
5,,法术防御,增加全体2%法术防御,5,101,100,Skill/fashufangyu,法术防御+2%,70000005,1
6,,暴击,增加全体2%暴击,6,101,100,Skill/baoji,暴击+2%,70000006,1
7,,暴击伤害,增加全体2%暴击伤害,7,101,100,Skill/baojishanghai,暴击伤害+2%,70000007,1
8,,生命,增加全体6%生命,8,102,100,Skill/baoji,生命+6%,70000008,3
9,,物理攻击,增加全体6%物理攻击,9,102,100,Skill/wuligongji,物理攻击+6%,70000009,3
10,,法术攻击,增加全体6%法术攻击,10,102,100,Skill/fashugongji,法术攻击+6%,70000010,3
11,,物理防御,增加全体6%物理防御,11,102,100,Skill/wulifangyu,物理防御+6%,70000011,3
12,,法术防御,增加全体6%法术防御,12,102,100,Skill/fashufangyu,法术防御+6%,70000012,3
13,,暴击,增加全体6%暴击,13,102,100,Skill/baoji,暴击+6%,70000013,3
14,,暴击伤害,增加全体6%暴击伤害,14,102,100,Skill/baojishanghai,暴击伤害+6%,70000014,3
15,,生命,增加全体10%生命,15,103,100,Skill/shengming,生命+10%,70000015,5
16,,物理攻击,增加全体10%物理攻击,16,103,100,Skill/wuligongji,物理攻击+10%,70000016,5
17,,法术攻击,增加全体10%法术攻击,17,103,100,Skill/fashugongji,法术攻击+10%,70000017,5
18,,物理防御,增加全体10%物理防御,18,103,100,Skill/wulifangyu,物理防御+10%,70000018,5
19,,法术防御,增加全体10%法术防御,19,103,100,Skill/fashufangyu,法术防御+10%,70000019,5
20,,暴击,增加全体10%暴击,20,103,100,Skill/baoji,暴击+10%,70000020,5
21,,暴击伤害,增加全体10%暴击伤害,21,103,100,Skill/baojishanghai,暴击伤害+10%,70000021,5
