key,remarks,bonusId,score,reward,frontBgColor
1,,1,1000,"8_100,2_20,603101_1",aaff00
2,,2,15000,"8_120,2_24,603101_1",aaff00
3,,3,20000,"8_150,2_30,603101_1",aaff00
4,,4,25000,"8_200,2_40,603101_1",00c8ff
5,,5,45000,"8_300,2_60,603101_1",00c8ff
6,,6,85000,"8_400,2_80,603101_1",00c8ff
7,,7,140000,"8_500,2_100,603101_1",00c8ff
8,,8,220000,"8_600,2_120,603101_1",00c8ff
9,,9,340000,"8_700,2_140,603101_1",ffc800
10,,10,500000,"8_800,2_160,603101_1",ffc800
11,,11,700000,"8_900,2_180,603101_1",ffc800
12,,12,950000,"8_1000,2_200,603101_1",ffc800
13,,13,1200000,"8_1200,2_240,603101_1",ffc800
