key,remarks,stageId,levelId,fabaoBuff,buffBonus,coBox,hiBox,enimy,score,starReward,copyId,drop,firstDrop,fighting
101_1,,101,1,101,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",227,100,1,150041,"32501,32726,40001",,8100_9900
101_2,,101,2,101,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",228,200,3,150041,"32573,32798,40073",,10620_12980
101_3,,101,3,101,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",229,300,5,150041,"32645,32870,40145",,16401_20046
102_1,,102,1,103,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",230,100,1,150041,"32502,32727,40002",,10713_13094
102_2,,102,2,103,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",231,200,3,150041,"32574,32799,40074",,18548_22669
102_3,,102,3,103,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",232,300,5,150041,"32646,32871,40146",,26246_32079
103_1,,103,1,106,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",233,100,1,150041,"32503,32728,40003",,11387_13918
103_2,,103,2,106,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",234,200,3,150041,"32575,32800,40075",,20566_25137
103_3,,103,3,106,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",235,300,5,150041,"32647,32872,40147",,29411_35946
104_1,,104,1,109,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",236,100,1,150041,"32504,32729,40004",,26379_32241
104_2,,104,2,109,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",237,200,3,150041,"32576,32801,40076",,35847_43813
104_3,,104,3,109,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",238,300,5,150041,"32648,32873,40148",,50190_61343
105_1,,105,1,112,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",239,100,1,150041,"32505,32730,40005",,31653_38687
105_2,,105,2,112,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",240,200,3,150041,"32577,32802,40077",,49340_60305
105_3,,105,3,112,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",241,300,5,150041,"32649,32874,40149",,64515_78852
106_1,,106,1,115,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",242,100,1,150041,"32506,32731,40006",,33259_40650
106_2,,106,2,115,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",243,200,3,150041,"32578,32803,40078",,52147_63736
106_3,,106,3,115,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",244,300,5,150041,"32650,32875,40150",,68859_84161
107_1,,107,1,118,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",245,100,1,150041,"32507,32732,40007",,45622_55761
107_2,,107,2,118,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",246,200,3,150041,"32579,32804,40079",,60492_73935
107_3,,107,3,118,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",247,300,5,150041,"32651,32876,40151",,104310_127491
108_3,,108,3,121,"101,102,103","1_2000:32717,40000","2_50:32721,40010,42001",250,300,5,150041,"32652,32877,40152",41001,134471_164354
201_1,,201,1,101,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",251,100,1,150042,"32509,32734,40009",,57547_70336
201_2,,201,2,101,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",252,200,3,150042,"32581,32806,40081",,74259_90761
201_3,,201,3,101,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",253,300,5,150042,"32653,32878,40153",,115451_141106
202_1,,202,1,103,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",254,100,1,150042,"32510,32735,40010",,65892_80535
202_2,,202,2,103,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",255,200,3,150042,"32582,32807,40082",,109710_134091
202_3,,202,3,103,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",256,300,5,150042,"32654,32879,40154",,117794_143971
203_1,,203,1,106,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",257,100,1,150042,"32511,32736,40011",,69915_85452
203_2,,203,2,106,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",258,200,3,150042,"32583,32808,40083",,112059_136962
203_3,,203,3,106,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",259,300,5,150042,"32655,32880,40155",,120151_146852
204_1,,204,1,109,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",260,100,1,150042,"32512,32737,40012",,74259_90761
204_2,,204,2,109,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",261,200,3,150042,"32584,32809,40084",,115451_141106
204_3,,204,3,109,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",262,300,5,150042,"32656,32881,40156",,125139_152948
205_1,,205,1,112,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",263,100,1,150042,"32513,32738,40013",,112059_136962
205_2,,205,2,112,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",264,200,3,150042,"32585,32810,40085",,120151_146852
205_3,,205,3,112,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",265,300,5,150042,"32657,32882,40157",,151833_185574
206_1,,206,1,115,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",266,100,1,150042,"32514,32739,40014",,115451_141106
206_2,,206,2,115,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",267,200,3,150042,"32586,32811,40086",,125139_152948
206_3,,206,3,115,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",268,300,5,150042,"32658,32883,40158",,157948_193047
207_1,,207,1,118,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",269,100,1,150042,"32515,32740,40015",,117794_143971
207_2,,207,2,118,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",270,200,3,150042,"32587,32812,40087",,127530_155871
207_3,,207,3,118,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",271,300,5,150042,"32659,32884,40159",,162073_198090
208_3,,208,3,121,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",274,300,5,150042,"32660,32885,40160",41001,205205_250806
301_1,,301,1,101,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",275,100,1,150043,"32517,32742,40017",,125139_152948
301_2,,301,2,101,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",276,200,3,150043,"32589,32814,40089",,157948_193047
301_3,,301,3,101,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",277,300,5,150043,"32661,32886,40161",,178741_218462
302_1,,302,1,103,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",278,100,1,150043,"32518,32743,40018",,127530_155871
302_2,,302,2,103,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",279,200,3,150043,"32590,32815,40090",,162073_198090
302_3,,302,3,103,"101,102,103","1_3000:32718,40001","2_60:32722,40011,42002",280,300,5,150043,"32662,32887,40162",,197307_241154
