key,remarks,stageId,rankEnd,reward,emailId
1,,1,1,"8~500,1~88888",10057
2,,2,2,"8~450,1~70000",10058
3,,3,3,"8~400,1~65000",10059
4,,4,4,"8~350,1~60000",10060
5,,5,5,"8~300,1~55000",10061
6,,6,10,"8~250,1~50000",10062
7,,7,15,"8~230,1~45000",10056
8,,8,20,"8~220,1~40000",10056
9,,9,25,"8~210,1~35000",10056
10,,10,35,"8~200,1~30000",10056
11,,11,45,"8~190,1~25000",10056
12,,12,60,"8~180,1~20000",10056
13,,13,95,"8~170,1~15000",10056
14,,14,125,"8~160,1~10000",10056
15,,15,160,"8~150,1~8000",10056
16,,16,240,"8~140,1~7000",10056
17,,17,320,"8~130,1~6000",10056
18,,18,400,"8~120,1~5000",10056
19,,19,600,"8~110,1~4000",10056
20,,20,800,"8~100,1~3000",10056
