Key,Remarks,id,title,index,content,type,goods
1,,1,"祭坛抽到物品(非佣兵),物品id为**",5,"[ffbb00]{0}[-]福运亨通,在钓鱼台垂钓时钓起了一个{1}",11,700007_700008_700009_700010_700011_700012_700019_700020_700021_700022_700023_700024_700031_700032_700033_700034_700035_700036_700043_700044_700045_700046_700047_700048_700067_700068_700069_700070_700071_700072_700079_700080_700081_700082_700083_700084_700094_700095_700098_700099_700106_700107_700108_700109_700110_700111_700118_700119_700120_700121_700122_700123_700130_700131_700132_700133_700134_700135_700142_700143_700144_700145_700146_700147_700154_700155_700156_700162_700164_700165_700177_700178_700179_700180_700185_700186_700187_700188
2,,2,祭坛抽到特殊佣兵,2,"[ffbb00]{0}[-]福至心灵,在钓鱼台巧遇[{1}],真是如虎添翼如鱼得水啊！",18,202002_1_202002_2_202002_3_202002_4_202002_5_202002_6_202002_7_201001_1_201001_2_201001_3_201001_4_201001_5_201001_6_201001_7_203001_1_203001_2_203001_3_203001_4_203001_5_203001_6_203001_7_201005_1_201005_2_201005_3_201005_4_201005_5_201005_6_201005_7_202004_1_202004_2_202004_3_202004_4_202004_5_202004_6_202004_7_202006_1_202006_2_202006_3_202006_4_202006_5_202006_6_202006_7_204003_1_204003_2_204003_3_204003_4_204003_5_204003_6_204003_7_203002_1_203002_2_203002_3_203002_4_203002_5_203002_6_203002_7_203003_1_203003_2_203003_3_203003_4_203003_5_203003_6_203003_7_200002_1_200002_2_200002_3_200002_4_200002_5_200002_6_200002_7_204006_1_204006_2_204006_3_204006_4_204006_5_204006_6_204006_7_202005_1_202005_2_202005_3_202005_4_202005_5_202005_6_202005_7_200009_1_200009_2_200009_3_200009_4_200009_5_200009_6_200009_7_200004_1_200004_2_200004_3_200004_4_200004_5_200004_6_200004_7_200010_1_200010_2_200010_3_200010_4_200010_5_200010_6_200010_7_204005_1_204005_2_204005_3_204005_4_204005_5_204005_6_204005_7_201007_1_201007_2_201007_3_201007_4_201007_5_201007_6_201007_7_203010_1_203010_2_203010_3_203010_4_203010_5_203010_6_203010_7_204002_1_204002_2_204002_3_204002_4_204002_5_204002_6_204002_7_203013_1_203013_2_203013_3_203013_4_203013_5_203013_6_203013_7_203004_1_203004_2_203004_3_203004_4_203004_5_203004_6_203004_7_200012_1_200012_2_200012_3_200012_4_200012_5_200012_6_200012_7_203011_1_203011_2_203011_3_203011_4_203011_5_203011_6_203011_7_204008_1_204008_2_204008_3_204008_4_204008_5_204008_6_204008_7_203007_1_203007_2_203007_3_203007_4_203007_5_203007_6_203007_7_200006_1_200006_2_200006_3_200006_4_200006_5_200006_6_200006_7_202003_1_202003_2_202003_3_202003_4_202003_5_202003_6_202003_7_202010_1_202010_2_202010_3_202010_4_202010_5_202010_6_202010_7_203008_1_203008_2_203008_3_203008_4_203008_5_203008_6_203008_7
3,,3,领取首冲礼包,,[ffbb00]{0}[-]成功领取首冲礼包，获得海量奖励,1,
4,,4,购买月卡,1,,1,
5,,5,开服活动,,对应开服活动的内容,,
6,,6,通关万仙阵,4,[ffbb00]{0}[-]在万仙阵越战越勇，成功通关万仙阵,1,
7,,7,通关试炼之路,4,[ffbb00]{0}[-]在试炼之路越战越勇，成功通关试炼之路,1,
8,,8,通关试炼塔层数（玩家通关10的倍数层数触发公告）,4,[ffbb00]{0}[-]成功通关封神台[ffbb00]{1}[-]层，大家快来膜拜吧,2,
9,,9,伙伴升星,3,玩家[ffbb00]{0}[-]成功将{1}英雄升星到{2}星，看来神级伙伴指日可待,3,
10,,10,英雄进阶加技能,3,玩家[ffbb00]{0}[-]成功将{1}英雄进阶到{2}，并解锁了一个新的技能,3,
11,,11,主角升星,3,玩家[ffbb00]{0}[-]成功提升到{1}星,2,
12,,12,主角进阶,3,玩家[ffbb00]{0}[-]成功进阶到{1}，能力获得巨大提升,2,
13,,13,稀有法宝的获得,3,经过一番努力，玩家[ffbb00]{0}[-]成功获得高级法宝：{1},2,
14,,14,英雄进阶,3,玩家[ffbb00]{0}[-]成功将{1}英雄进阶到{2}，能力获得巨大提升,2,
15,,15,主角进阶加技能,3,玩家[ffbb00]{0}[-]成功进阶到{1}，并解锁了一个新的技能,3,
16,,16,帮派争霸,6,[ffbb00]{0}[-]帮派的[ffbb00]{1}[-]取得了胜利！帮派积分+{2},3,
17,,17,帮派争霸,6,[ffbb00]{0}[-]帮派的[ffbb00]{1}[-]取得了2连胜！帮派积分+{2},3,
18,,18,帮派争霸,6,[ffbb00]{0}[-]帮派的[ffbb00]{1}[-]已经大杀特杀！帮派积分+{2},3,
19,,19,帮派争霸,6,[ffbb00]{0}[-]帮派的[ffbb00]{1}[-]已经主宰比赛！帮派积分+{2},3,
20,,20,帮派争霸,6,[ffbb00]{0}[-]帮派的[ffbb00]{1}[-]已经无人能挡！帮派积分+{2},3,
21,,21,帮派争霸,6,[ffbb00]{0}[-]帮派的[ffbb00]{1}[-]已经妖怪般杀戮！帮派积分+{2},3,
22,,22,帮派争霸,6,[ffbb00]{0}[-]帮派的[ffbb00]{1}[-]已经如同神一般！帮派积分+{2},3,
23,,23,帮派争霸,6,[ffbb00]{0}[-]帮派的[ffbb00]{1}[-]已经超神了！帮派积分+{2}，拜托谁去终结他吧~~,3,
24,,24,随机Boss刷新,1,玩家[ffbb00]{0}[-]在战斗时发现了等级{1}的{2}，大家赶紧[00ff00][u]加他好友[/u][-]，一起讨伐吧！,17,
