id,remarks,type,minLevel,maxLevel,des,vip,checkPointID,serviceId,submoduleId
1,,1,1,100,,,,MSG_ItemBag,
2,,2,1,100,,,,,
3,,3,1,100,,,,MSG_Hero,
4,,4,1,100,,,,MSG_CopyService,
5,,5,13,100,,,,MSG_RANKING,
6,,6,42,100,,,110902,,
7,,7,24,100,,,110510,MSG_TRIAL,TRIAL_TYPE_TRIAL
8,,8,32,100,,,110612,MSG_TRIAL,TRIAL_TYPE_CELESTIAL
9,,9,29,100,,,110606,MSG_TOWER,TOWER_PANEL_INFO
10,,10,4,100,,,,,
11,,11,35,100,,,,,
12,,12,18,100,,,110410,MSG_MAGIC,Magic_FORGE
13,,13,32,100,,,,,
14,,14,13,100,,,,MSG_ROLE,CHANGE_ROLE
15,,15,7,100,点金手,,,MSG_MainService,BUY_COIN
17,,17,17,100,,,,MSG_FRIEND,
18,,18,1,100,,,,,
19,,19,1,100,,,,,
20,,20,15,100,,,,MSG_DAILY_ACTIVITY,
21,,21,14,100,,,110404,MSG_ARENA,
22,,22,13,100,,,,MSG_SIGN,
23,,23,18,100,,,110410,MSG_MAGIC_SECRET,Magic_Secret
24,,24,14,100,,,,MSG_Worship,WORSHIP
25,,25,42,100,,,110902,MSG_PEAK_ARENA,
26,,26,15,100,,,,MSG_TASK,
27,,27,19,100,,,,MSG_GROUP_PERSONAL,GROUP_RECOMMENT_TYPE
28,,28,19,100,,,,MSG_GROUP_PERSONAL,APPLY_JOIN_GROUP_TYPE
29,,29,19,100,,,,MSG_GROUP_PERSONAL,CREATE_GROUP_TYPE
30,,30,7,100,升技能,,,MSG_SKILL,Skill_Upgrade
31,,31,,100,穿装备,,,,
32,,32,,100,穿装备,,,,
33,,33,36,100,,,110712,MSG_Inlay,
34,,34,1,100,,,,,
35,,35,25,100,,,,MSG_GROUP_SECRET,
36,,36,12,100,,,,MSG_STORE,
37,,37,12,100,,,,,
38,,38,12,100,,,,,
39,,38,5,100,,,,,
40,,40,26,100,,,110512,MSG_TRIAL,TRAIL_VALLEY
41,,41,21,100,,,,MSG_FASHION,
42,,42,8,100,,,,MSG_Hero,EVOLUTION_HERO
43,,43,11,100,,,110305,MSG_CopyService,"SWEEP_LEVEL_DIAMOND,SWEEP_LEVEL_TICKET"
44,,44,9,100,,,,MSG_Hero,"USE_EXP,USE_EXP_MAX"
45,,45,22,100,,,110508,,
46,,46,15,100,,,,,
47,,47,11,100,,,,,
48,,48,36,100,,,110712,MSG_BATTLE_TOWER,
49,,49,,100,,,,,
50,,50,8,100,,,,,
51,,51,45,100,,,,,
52,,52,28,100,,,110604,MSG_TAOIST,
53,,53,22,100,,,110508,MSG_FIX_EQUIP,Open_main_view
54,,54,40,100,,,,MSG_FIX_EQUIP,Norm_star_up
55,,55,20,100,,,,,
56,,56,20,100,,,110504,MSG_TEAM_BATTLE,
57,,57,22,100,,,,MSG_FIX_EQUIP,Exp_star_up
58,,58,22,100,,,,MSG_FIX_EQUIP,Exp_star_up
59,,59,1,100,,,,,
60,,60,18,100,,,110410,,
61,,61,19,100,,,,,
62,,62,18,100,,,110410,,
63,,63,14,100,,,110404,,
64,,64,42,100,,,110902,,
65,,65,21,100,,,,,
66,,66,29,100,,,110606,,
67,,67,40,100,,,,,
68,,68,34,100,,,,,
69,,69,34,100,,,,,
70,,70,6,100,,,,,
71,,71,45,100,,,,,
72,,72,14,100,,,,,
73,,73,8,100,,,,,
