key,remarks,degreeID,levelID,intro,recommend,openLv,degreeIcon,bossIcon,recHeroId,firstPrize,killPrize
1001,,1001,140001,聚宝之地深处有一位“财神”似乎拥有点石成金的能力。接受财神的考验，根据考验成绩会获得不同数量的金币！,击杀财宝小猫可以获得更多金币,19,ZT_NanDu_01,ect_CaiBao_01,,,
1002,,1002,140002,聚宝之地深处有一位“财神”似乎拥有点石成金的能力。接受财神的考验，根据考验成绩会获得不同数量的金币！,击杀财宝小猫可以获得更多金币,30,ZT_NanDu_02,ect_CaiBao_02,,,
1003,,1003,140003,聚宝之地深处有一位“财神”似乎拥有点石成金的能力。接受财神的考验，根据考验成绩会获得不同数量的金币！,击杀财宝小猫可以获得更多金币,38,ZT_NanDu_03,ect_CaiBao_03,,,
1004,,1004,140004,聚宝之地深处有一位“财神”似乎拥有点石成金的能力。接受财神的考验，根据考验成绩会获得不同数量的金币！,击杀财宝小猫可以获得更多金币,50,ZT_NanDu_04,ect_CaiBao_04,,,
1005,,1005,140005,聚宝之地深处有一位“财神”似乎拥有点石成金的能力。接受财神的考验，根据考验成绩会获得不同数量的金币！,击杀财宝小猫可以获得更多金币,60,ZT_NanDu_05,ect_CaiBao_05,,,
2001,,2001,140011,幽静的修炼之地，怪物聚集天地灵气，击杀怪物可获得经验丹,,26,ZT_NanDu_01,ect_LingQuan_01,,,
2002,,2002,140012,幽静的修炼之地，怪物聚集天地灵气，击杀怪物可获得经验丹,,34,ZT_NanDu_02,ect_LingQuan_02,,,
2003,,2003,140013,幽静的修炼之地，怪物聚集天地灵气，击杀怪物可获得经验丹,,44,ZT_NanDu_03,ect_LingQuan_03,,,
2004,,2004,140014,幽静的修炼之地，怪物聚集天地灵气，击杀怪物可获得经验丹,,53,ZT_NanDu_04,ect_LingQuan_04,,,
2005,,2005,140015,幽静的修炼之地，怪物聚集天地灵气，击杀怪物可获得经验丹,,64,ZT_NanDu_05,ect_LingQuan_05,,,
3001,,3001,140021,幻境重重的海岛，上面生活着许多强大的元素生灵,敌人免疫所有物理攻击,29,ZT_NanDu_01,btn_FB_01,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
3002,,3002,140022,幻境重重的海岛，上面生活着许多强大的元素生灵,敌人免疫所有物理攻击,43,ZT_NanDu_02,btn_FB_02,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
3003,,3003,140023,幻境重重的海岛，上面生活着许多强大的元素生灵,敌人免疫所有物理攻击,54,ZT_NanDu_03,btn_FB_03,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
3004,,3004,140024,幻境重重的海岛，上面生活着许多强大的元素生灵,敌人免疫所有物理攻击,66,ZT_NanDu_04,btn_FB_03,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
3005,,3005,140025,幻境重重的海岛，上面生活着许多强大的元素生灵,敌人免疫所有物理攻击,76,ZT_NanDu_05,btn_FB_03,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
4001,,4001,140031,被封印的地下洞穴，有强大的机械武神镇守,敌人免疫所有法术攻击,29,ZT_NanDu_01,btn_FB_01,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
4002,,4002,140032,被封印的地下洞穴，有强大的机械武神镇守,敌人免疫所有法术攻击,43,ZT_NanDu_02,btn_FB_02,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
4003,,4003,140033,被封印的地下洞穴，有强大的机械武神镇守,敌人免疫所有法术攻击,54,ZT_NanDu_03,btn_FB_03,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
4004,,4004,140034,被封印的地下洞穴，有强大的机械武神镇守,敌人免疫所有法术攻击,66,ZT_NanDu_04,btn_FB_03,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
4005,,4005,140035,被封印的地下洞穴，有强大的机械武神镇守,敌人免疫所有法术攻击,76,ZT_NanDu_05,btn_FB_03,"202002_1,202001_1,201001_1","801001~1,801002~1","801001~1,801002~2"
