Key,Remarks,level,VIP,id,jubaoNorRewards,jubaoNorCost,lianqiNorRewards,lianqiNorCost,penglaiNorRewards,penglaiNorCost,kunlunNorRewards,kunlunNorCost,wanxianNorRewards,wanxianNorCost,fengshenNorRewards,fengshenNorCost,qiankunNorRewards,qiankunNorCost,xinmo1NorRewards,xinmo1NorCost,xinmo2NorRewards,xinmo2NorCost,xinmo3NorRewards,xinmo3NorCost,xinmo4NorRewards,xinmo4NorCost,xinmo5NorRewards,xinmo5NorCost,xinmo6NorRewards,xinmo6NorCost
1,,1,0~1,1,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
2,,2,0~1,2,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
3,,3,0~1,3,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
4,,4,0~1,4,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
5,,5,0~1,5,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
6,,6,0~1,6,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
7,,7,0~1,7,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
8,,8,0~1,8,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
9,,9,0~1,9,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
10,,10,0~1,10,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
11,,11,0~1,11,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
12,,12,0~1,12,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
13,,13,0~1,13,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
14,,14,0~1,14,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
15,,15,0~1,15,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
16,,16,0~1,16,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
17,,17,0~1,17,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
18,,18,0~1,18,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
19,,19,0~1,19,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
20,,20,0~1,20,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
21,,21,0~1,21,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
22,,22,0~1,22,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
23,,23,0~1,23,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:2,6,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
24,,24,0~1,24,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:3,9,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
25,,25,0~1,25,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:3,9,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
26,,26,0~1,26,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:4,12,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
27,,27,0~1,27,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:5,15,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
28,,28,0~1,28,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:6,18,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
29,,29,0~1,29,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:7,21,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
30,,30,0~1,30,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:8,24,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
31,,31,0~1,31,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:9,27,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
32,,32,0~1,32,1:50000,38,803003:22,135,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:10,30,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
33,,33,0~1,33,1:50000,38,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:11,33,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
34,,34,0~1,34,1:50000,38,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:12,36,14:50,38,14:50,38,14:0,,14:0,,14:0,,14:0,
35,,35,0~1,35,1:50000,38,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:15,45,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
36,,36,0~1,36,1:50000,38,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:7,147,801002:16,48,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
37,,37,0~1,37,1:50000,38,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:9,179,801002:18,54,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
38,,38,0~1,38,1:50000,38,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:9,179,801002:20,60,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
39,,39,0~1,39,1:50000,38,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:9,179,801002:25,75,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
40,,40,0~1,40,1:60000,45,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:10,210,801002:26,78,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
41,,41,0~1,41,1:60000,45,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:10,210,801002:29,87,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
42,,42,0~1,42,1:60000,45,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:11,242,801002:31,93,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
43,,43,0~1,43,1:60000,45,803003:40,240,702153:8;702177:8,255,702170:8;702185:8,255,1:500000;6:960,478,10:14,284,801002:34,102,14:50,38,14:50,38,14:50,38,14:0,,14:0,,14:0,
44,,44,0~1,44,1:60000,45,803003:50,300,702173:7;702178:7,225,702172:7;702186:7,225,1:500000;6:960,478,10:14,284,801002:36,108,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
45,,45,0~1,45,1:60000,45,803003:50,300,702173:7;702178:7,225,702172:7;702186:7,225,1:500000;6:960,478,10:16,326,801002:39,117,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
46,,46,0~1,46,1:60000,45,803003:50,300,702173:7;702178:7,225,702172:7;702186:7,225,1:500000;6:960,478,10:18,378,801002:41,123,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
47,,47,0~1,47,1:60000,45,803003:50,300,702173:7;702178:7,225,702172:7;702186:7,225,1:500000;6:960,478,10:18,378,801002:44,132,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
48,,48,0~1,48,1:70000,53,803003:50,300,702173:7;702178:7,225,702172:7;702186:7,225,1:500000;6:960,478,10:20,420,801002:46,138,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
49,,49,0~1,49,1:70000,53,803003:50,300,702173:7;702178:7,225,702172:7;702186:7,225,1:500000;6:960,478,10:22,462,801002:50,150,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
50,,50,0~1,50,1:70000,53,803003:50,300,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:22,462,801002:52,156,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
51,,51,0~1,51,1:70000,53,803003:50,300,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:24,515,801002:55,165,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
52,,52,0~1,52,1:70000,53,803003:50,300,702054:5;702179:5,150,702053:5;702187:5,150,1:500000;6:960,478,10:26,557,801002:58,174,14:50,38,14:50,38,14:50,38,14:50,38,14:0,,14:0,
