Key,Remarks,level,vip,id,jubaoPerRewards,jubaoPerCost,lianqiPerRewards,lianqiPerCost,penglaiPerRewards,penglaiPerCost,kunlunPerRewards,kunlunPerCost,wanxianPerRewards,wanxianPerCost,fengshenPerRewards,fengshenPerCost,qiankunPerRewards,qiankunPerCost,xinmo1PerRewards,xinmo1PerCost,xinmo2PerRewards,xinmo2PerCost,xinmo3PerRewards,xinmo3PerCost,xinmo4PerRewards,xinmo4PerCost,xinmo5PerRewards,xinmo5PerCost,xinmo6PerRewards,xinmo6PerCost
1,,1,0~1,1,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
2,,2,0~1,2,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
3,,3,0~1,3,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
4,,4,0~1,4,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
5,,5,0~1,5,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
6,,6,0~1,6,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
7,,7,0~1,7,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
8,,8,0~1,8,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
9,,9,0~1,9,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
10,,10,0~1,10,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
11,,11,0~1,11,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
12,,12,0~1,12,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
13,,13,0~1,13,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
14,,14,0~1,14,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
15,,15,0~1,15,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
16,,16,0~1,16,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
17,,17,0~1,17,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
18,,18,0~1,18,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
19,,19,0~1,19,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
20,,20,0~1,20,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
21,,21,0~1,21,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
22,,22,0~1,22,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
23,,23,0~1,23,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:4,9,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
24,,24,0~1,24,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:6,14,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
25,,25,0~1,25,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:6,14,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
26,,26,0~1,26,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:8,19,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
27,,27,0~1,27,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:10,24,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
28,,28,0~1,28,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:12,28,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
29,,29,0~1,29,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:14,33,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
30,,30,0~1,30,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:16,38,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
31,,31,0~1,31,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:18,43,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
32,,32,0~1,32,1:100000,60,803003:45,216,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:20,48,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
33,,33,0~1,33,1:100000,60,803003:80,384,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:22,52,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
34,,34,0~1,34,1:100000,60,803003:80,384,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:24,57,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
35,,35,0~1,35,1:100000,60,803003:80,384,702153:17;702177:17,408,702170:17;702185:17,408,1:1000000;6:1920,764,10:14,235,801002:30,72,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
