key,Remarks,id,nextId,quality,equip1,equip2,equip3,equip4,equip5,equip6,life,attack,physiqueDef,spiritDef,lifeReceive,energyReceive,critical,toughness,hit,dodge,criticalHurt,attrData,precentAttrData,attrDesc,qualityName,careerName,beizhu,careerIcon,qualityBg,playerQualityBg
100001_1,,100001_1,100001_2,,700124,700013,700073,700157,700174,700091,,,,,,,,,,,,生命_160;物理攻击_30;物理防御_10;法术攻击_24;法术防御_8;生命回复_149;能量回复_8,,,白色,新手,标准,JiaoBiao_Chu,bg_head_BaiSe,bg_head_BaiSe
100001_2,,100001_2,100001_3,1,700125,700014,700062,700149,700174,700091,,,,,,,,,,,,生命_1600;物理攻击_300;物理防御_100;法术攻击_240;法术防御_80;生命回复_1492;能量回复_83,,,绿色,新手,标准,JiaoBiao_Chu,bg_head_LvSe,bg_head_LvSe
100001_3,,100001_3,100001_4,2,700124,700013,700073,700157,700174,700091,,,,,,,,,,,,生命_2880;物理攻击_540;物理防御_180;法术攻击_432;法术防御_144;生命回复_2686;能量回复_150,,,绿色+1,新手,标准,JiaoBiao_Chu,bg_head_LvSe_01,bg_head_LvSe_01
100001_4,,100001_4,100001_5,3,700125,700014,700062,700149,700174,700091,,,,,,,,,,,,生命_3840;物理攻击_720;物理防御_240;法术攻击_576;法术防御_192;生命回复_3581;能量回复_200,,,绿色+2,新手,标准,JiaoBiao_Chu,bg_head_LvSe_02,bg_head_LvSe_02
100001_5,,100001_5,100001_6,4,700104,700017,700077,700160,700176,700092,,,,,,,,,,,,生命_4480;物理攻击_840;物理防御_280;法术攻击_672;法术防御_224;生命回复_4178;能量回复_233,,,蓝色,新手,标准,JiaoBiao_Chu,bg_head_LanSe,bg_head_LanSe
100001_6,,100001_6,100001_7,5,700105,700018,700077,700160,700176,700092,,,,,,,,,,,,生命_5280;物理攻击_990;物理防御_330;法术攻击_792;法术防御_264;生命回复_4924;能量回复_275,,,蓝色+1,新手,标准,JiaoBiao_Chu,bg_head_LanSe_01,bg_head_LanSe_01
100001_7,,100001_7,100001_8,6,700105,700018,700078,700161,700176,700093,,,,,,,,,,,,生命_6240;物理攻击_1170;物理防御_390;法术攻击_936;法术防御_312;生命回复_5820;能量回复_325,,,蓝色+2,新手,标准,JiaoBiao_Chu,bg_head_LanSe_02,bg_head_LanSe_02
100001_8,,100001_8,100001_9,7,700106,700019,700078,700161,700177,700093,,,,,,,,,,,,生命_6880;物理攻击_1290;物理防御_430;法术攻击_1032;法术防御_344;生命回复_6417;能量回复_358,,,蓝色+3,新手,标准,JiaoBiao_Chu,bg_head_LanSe_03,bg_head_LanSe_03
100001_9,,100001_9,100001_10,8,700106,700019,700079,700161,700177,700093,,,,,,,,,,,,生命_7360;物理攻击_1380;物理防御_460;法术攻击_1104;法术防御_368;生命回复_6864;能量回复_383,,,紫色,新手,标准,JiaoBiao_Chu,bg_head_ZiSe,bg_head_ZiSe
100001_10,,100001_10,100001_11,9,700107,700020,700079,700161,700177,700093,,,,,,,,,,,,生命_7680;物理攻击_1440;物理防御_480;法术攻击_1152;法术防御_384;生命回复_7163;能量回复_400,,,紫色+1,新手,标准,JiaoBiao_Chu,bg_head_ZiSe_01,bg_head_ZiSe_01
100001_11,,100001_11,100001_12,10,700107,700020,700080,700162,700177,700094,,,,,,,,,,,,生命_8000;物理攻击_1500;物理防御_500;法术攻击_1200;法术防御_400;生命回复_7461;能量回复_416,,,紫色+2,新手,标准,JiaoBiao_Chu,bg_head_ZiSe_02,bg_head_ZiSe_02
100001_12,,100001_12,100001_13,11,700108,700021,700080,700162,700178,700094,,,,,,,,,,,,生命_8480;物理攻击_1590;物理防御_530;法术攻击_1272;法术防御_424;生命回复_7909;能量回复_441,,,紫色+3,新手,标准,JiaoBiao_Chu,bg_head_ZiSe_03,bg_head_ZiSe_03
100001_13,,100001_13,100001_14,12,700108,700021,700081,700162,700178,700094,,,,,,,,,,,,生命_8960;物理攻击_1680;物理防御_560;法术攻击_1344;法术防御_448;生命回复_8357;能量回复_466,,,紫色+4,新手,标准,JiaoBiao_Chu,bg_head_ZiSe_04,bg_head_ZiSe_04
100001_14,,100001_14,100001_15,13,700109,700022,700081,700164,700178,700094,,,,,,,,,,,,生命_9600;物理攻击_1800;物理防御_600;法术攻击_1440;法术防御_480;生命回复_8954;能量回复_500,,,橙色,新手,标准,JiaoBiao_Chu,bg_head_ChengSe,bg_head_ChengSe
