key,remarks,level,maxPower,recoverPower,potential,mostPower,openFun
1,,1,60,,10,1000,
2,,2,62,10,50,1000,
3,,3,64,10,100,1000,
4,,4,66,10,150,1000,
5,,5,68,10,200,1000,
6,,6,70,10,250,1000,
7,,7,72,10,300,1000,
8,,8,74,10,350,1000,
9,,9,76,10,400,1000,
10,,10,78,10,450,1000,
11,,11,80,10,500,1000,
12,,12,82,10,550,1000,
13,,13,84,10,600,1000,
14,,14,86,10,650,1000,
15,,15,88,10,700,1000,
16,,16,90,10,750,1000,
17,,17,92,10,800,1000,
18,,18,94,10,850,1000,
19,,19,96,10,900,1000,
20,,20,98,10,950,1000,
21,,21,100,10,1000,1000,
22,,22,102,10,1050,1000,
23,,23,104,10,1100,1000,
24,,24,106,10,1150,1000,
25,,25,108,15,1200,1000,
26,,26,110,15,1250,1000,
27,,27,112,15,1300,1000,
28,,28,114,15,1350,1000,
29,,29,116,15,1400,1000,
30,,30,118,15,1450,1000,
31,,31,120,15,1500,1000,
32,,32,122,15,1550,1000,
33,,33,124,15,1600,1000,
34,,34,126,15,1650,1000,
35,,35,128,15,1700,1000,
36,,36,130,15,1750,1000,
37,,37,132,15,1800,1000,
38,,38,134,15,1850,1000,
39,,39,136,15,1900,1000,
40,,40,138,15,1950,1000,
41,,41,140,15,2000,1000,
42,,42,142,15,2100,1000,
43,,43,144,15,2200,1000,
44,,44,146,15,2300,1000,
45,,45,148,15,2400,1000,
46,,46,150,15,2500,1000,
47,,47,152,15,2600,1000,
48,,48,154,15,2700,1000,
49,,49,156,15,2800,1000,
50,,50,158,15,2900,1000,
51,,51,160,15,3000,1000,
52,,52,162,15,3100,1000,
53,,53,164,15,3200,1000,
54,,54,166,15,3300,1000,
55,,55,168,15,3400,1000,
56,,56,170,15,3500,1000,
57,,57,172,15,3600,1000,
58,,58,174,15,3700,1000,
59,,59,176,15,3800,1000,
60,,60,178,15,3900,1000,
61,,61,180,15,4000,1000,
62,,62,180,15,4100,1000,
63,,63,180,15,4200,1000,
64,,64,180,15,4300,1000,
65,,65,180,15,4400,1000,
66,,66,180,15,,1000,
67,,67,180,15,,1000,
68,,68,180,15,,1000,
69,,69,180,15,,1000,
70,,70,180,15,,1000,
71,,71,180,15,,1000,
72,,72,180,15,,1000,
73,,73,180,15,,1000,
74,,74,180,15,,1000,
75,,75,180,15,,1000,
76,,76,180,15,,1000,
77,,77,180,15,,1000,
78,,78,180,15,,1000,
79,,79,180,15,,1000,
80,,80,180,15,,1000,
81,,81,180,15,,1000,
82,,82,180,15,,1000,
83,,83,180,15,,1000,
84,,84,180,15,,1000,
85,,85,180,15,,1000,
86,,86,180,15,,1000,
87,,87,180,15,,1000,
88,,88,180,15,,1000,
89,,89,180,15,,1000,
90,,90,180,15,,1000,
