key,remarks,order,atlas,spriteName,spriteId,tips,littleThing,type
1,,1,Assets/UIPrefab/Textures/Lead.prefab,head_TouXiangDi_01,20001,默认头像,,
2,,2,Assets/UIPrefab/Textures/Lead.prefab,head_TouXiangDi_02,20002,贵族等级1可解锁,,1
3,,3,Assets/UIPrefab/Textures/Lead.prefab,bg_head_xiari,20003,时装斗星衣解锁,,1
4,,4,Assets/UIPrefab/Textures/Lead.prefab,bg_head_tianshi,20004,时装天翎霞衣解锁,,1
5,,5,Assets/UIPrefab/Textures/Lead.prefab,bg_head_emo,20005,时装魅影蝠袍解锁,,1
6,,6,Assets/UIPrefab/Textures/Lead.prefab,bg_head_haitan,20006,时装唤海轻纱解锁,,1
26,,26,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_01,20026,见习战神,,1
27,,27,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_02,20027,初级战神,,1
28,,28,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_03,20028,高级战神,,1
29,,29,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_04,20029,黑铁战神,,1
30,,30,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_05,20030,青铜战神,,1
31,,31,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_06,20031,白银战神,,1
32,,32,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_07,20032,黄金战神,,1
33,,33,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_08,20033,铂金战神,,1
34,,34,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_09,20034,水晶战神,,1
35,,35,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_10,20035,钻石战神,,1
36,,36,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_11,20036,先锋战神,,1
37,,37,Assets/UIPrefab/Textures/Lead.prefab,TitleLead_12,20037,荣耀战神,,1
