key,remarks,ID,NextID,signNum,reward
1,,1,2,1,"2,20;1,10000;803002,5"
2,,2,3,4,"2,60;1,10000;803002,5"
3,,3,4,9,"2,100;1,20000;803002,10"
4,,4,5,16,"2,140;1,20000;803002,10"
5,,5,6,25,"2,180;1,20000;803002,10"
6,,6,7,35,"2,200;1,50000;803002,20"
7,,7,8,45,"2,200;1,50000;803002,20"
8,,8,9,55,"2,200;1,50000;803002,20"
9,,9,10,65,"2,250;1,150000;803002,35"
10,,10,11,75,"2,250;1,150000;803002,35"
11,,11,12,85,"2,300;1,250000;803002,50"
12,,12,13,95,"2,300;1,250000;803002,50"
13,,13,14,105,"2,300;1,250000;803002,50"
14,,14,15,115,"2,300;1,250000;803002,50"
15,,15,16,125,"2,300;1,250000;803002,50"
16,,16,17,135,"2,300;1,250000;803002,50"
17,,17,18,145,"2,300;1,250000;803002,50"
18,,18,19,155,"2,300;1,250000;803002,50"
19,,19,20,165,"2,300;1,250000;803002,50"
20,,20,21,175,"2,300;1,250000;803002,50"
21,,21,22,185,"2,300;1,250000;803002,50"
22,,22,23,195,"2,300;1,250000;803002,50"
23,,23,24,205,"2,300;1,250000;803002,50"
24,,24,25,215,"2,300;1,250000;803002,50"
25,,25,26,225,"2,300;1,250000;803002,50"
26,,26,27,235,"2,300;1,250000;803002,50"
27,,27,28,245,"2,300;1,250000;803002,50"
28,,28,29,255,"2,300;1,250000;803002,50"
29,,29,30,265,"2,300;1,250000;803002,50"
30,,30,31,275,"2,300;1,250000;803002,50"
31,,31,32,285,"2,300;1,250000;803002,50"
32,,32,33,295,"2,300;1,250000;803002,50"
33,,33,34,305,"2,300;1,250000;803002,50"
34,,34,35,315,"2,300;1,250000;803002,50"
35,,35,36,325,"2,300;1,250000;803002,50"
36,,36,37,335,"2,300;1,250000;803002,50"
37,,37,38,345,"2,300;1,250000;803002,50"
38,,38,39,355,"2,300;1,250000;803002,50"
39,,39,40,365,"2,300;1,250000;803002,50"
40,,40,41,375,"2,300;1,250000;803002,50"
41,,41,42,385,"2,300;1,250000;803002,50"
42,,42,43,395,"2,300;1,250000;803002,50"
43,,43,44,405,"2,300;1,250000;803002,50"
44,,44,45,415,"2,300;1,250000;803002,50"
45,,45,46,425,"2,300;1,250000;803002,50"
46,,46,47,435,"2,300;1,250000;803002,50"
47,,47,48,445,"2,300;1,250000;803002,50"
48,,48,49,455,"2,300;1,250000;803002,50"
49,,49,50,465,"2,300;1,250000;803002,50"
50,,50,51,475,"2,300;1,250000;803002,50"
51,,51,52,485,"2,300;1,250000;803002,50"
52,,52,53,495,"2,300;1,250000;803002,50"
53,,53,54,505,"2,300;1,250000;803002,50"
54,,54,55,515,"2,300;1,250000;803002,50"
55,,55,56,525,"2,300;1,250000;803002,50"
56,,56,57,535,"2,300;1,250000;803002,50"
57,,57,58,545,"2,300;1,250000;803002,50"
58,,58,59,555,"2,300;1,250000;803002,50"
59,,59,60,565,"2,300;1,250000;803002,50"
60,,60,61,575,"2,300;1,250000;803002,50"
61,,61,62,585,"2,300;1,250000;803002,50"
62,,62,63,595,"2,300;1,250000;803002,50"
63,,63,64,605,"2,300;1,250000;803002,50"
64,,64,65,615,"2,300;1,250000;803002,50"
65,,65,66,625,"2,300;1,250000;803002,50"
66,,66,67,635,"2,300;1,250000;803002,50"
67,,67,68,645,"2,300;1,250000;803002,50"
68,,68,69,655,"2,300;1,250000;803002,50"
69,,69,70,665,"2,300;1,250000;803002,50"
70,,70,71,675,"2,300;1,250000;803002,50"
71,,71,72,685,"2,300;1,250000;803002,50"
72,,72,73,695,"2,300;1,250000;803002,50"
73,,73,74,705,"2,300;1,250000;803002,50"
74,,74,75,715,"2,300;1,250000;803002,50"
75,,75,76,725,"2,300;1,250000;803002,50"
76,,76,77,735,"2,300;1,250000;803002,50"
77,,77,78,745,"2,300;1,250000;803002,50"
78,,78,79,755,"2,300;1,250000;803002,50"
79,,79,80,765,"2,300;1,250000;803002,50"
80,,80,81,775,"2,300;1,250000;803002,50"
81,,81,82,785,"2,300;1,250000;803002,50"
82,,82,83,795,"2,300;1,250000;803002,50"
83,,83,84,805,"2,300;1,250000;803002,50"
84,,84,85,815,"2,300;1,250000;803002,50"
85,,85,86,825,"2,300;1,250000;803002,50"
86,,86,87,835,"2,300;1,250000;803002,50"
87,,87,88,845,"2,300;1,250000;803002,50"
88,,88,89,855,"2,300;1,250000;803002,50"
89,,89,90,865,"2,300;1,250000;803002,50"
90,,90,91,875,"2,300;1,250000;803002,50"
91,,91,92,885,"2,300;1,250000;803002,50"
92,,92,93,895,"2,300;1,250000;803002,50"
93,,93,94,905,"2,300;1,250000;803002,50"
94,,94,95,915,"2,300;1,250000;803002,50"
95,,95,96,925,"2,300;1,250000;803002,50"
96,,96,97,935,"2,300;1,250000;803002,50"
97,,97,98,945,"2,300;1,250000;803002,50"
98,,98,99,955,"2,300;1,250000;803002,50"
99,,99,100,965,"2,300;1,250000;803002,50"
100,,100,101,975,"2,300;1,250000;803002,50"
101,,101,102,985,"2,300;1,250000;803002,50"
102,,102,103,995,"2,300;1,250000;803002,50"
103,,103,104,1005,"2,300;1,250000;803002,50"
104,,104,105,1015,"2,300;1,250000;803002,50"
105,,105,106,1025,"2,300;1,250000;803002,50"
106,,106,107,1035,"2,300;1,250000;803002,50"
107,,107,108,1045,"2,300;1,250000;803002,50"
108,,108,109,1055,"2,300;1,250000;803002,50"
109,,109,110,1065,"2,300;1,250000;803002,50"
110,,110,111,1075,"2,300;1,250000;803002,50"
111,,111,112,1085,"2,300;1,250000;803002,50"
112,,112,113,1095,"2,300;1,250000;803002,50"
113,,113,114,1105,"2,300;1,250000;803002,50"
114,,114,115,1115,"2,300;1,250000;803002,50"
115,,115,116,1125,"2,300;1,250000;803002,50"
116,,116,117,1135,"2,300;1,250000;803002,50"
117,,117,118,1145,"2,300;1,250000;803002,50"
118,,118,119,1155,"2,300;1,250000;803002,50"
119,,119,120,1165,"2,300;1,250000;803002,50"
120,,120,121,1175,"2,300;1,250000;803002,50"
121,,121,122,1185,"2,300;1,250000;803002,50"
122,,122,123,1195,"2,300;1,250000;803002,50"
123,,123,124,1205,"2,300;1,250000;803002,50"
124,,124,125,1215,"2,300;1,250000;803002,50"
125,,125,126,1225,"2,300;1,250000;803002,50"
126,,126,127,1235,"2,300;1,250000;803002,50"
127,,127,128,1245,"2,300;1,250000;803002,50"
128,,128,129,1255,"2,300;1,250000;803002,50"
129,,129,130,1265,"2,300;1,250000;803002,50"
130,,130,131,1275,"2,300;1,250000;803002,50"
131,,131,132,1285,"2,300;1,250000;803002,50"
132,,132,133,1295,"2,300;1,250000;803002,50"
133,,133,134,1305,"2,300;1,250000;803002,50"
134,,134,135,1315,"2,300;1,250000;803002,50"
135,,135,136,1325,"2,300;1,250000;803002,50"
136,,136,137,1335,"2,300;1,250000;803002,50"
137,,137,138,1345,"2,300;1,250000;803002,50"
138,,138,139,1355,"2,300;1,250000;803002,50"
139,,139,140,1365,"2,300;1,250000;803002,50"
140,,140,141,1375,"2,300;1,250000;803002,50"
141,,141,142,1385,"2,300;1,250000;803002,50"
142,,142,143,1395,"2,300;1,250000;803002,50"
143,,143,144,1405,"2,300;1,250000;803002,50"
144,,144,145,1415,"2,300;1,250000;803002,50"
145,,145,146,1425,"2,300;1,250000;803002,50"
