key,Remarks,id,isPlayer,order,level,coin,potential
0_0_1,,0_0_1,,,1,750,
0_0_2,,0_0_2,,,2,1000,
0_0_3,,0_0_3,,,3,1200,
0_0_4,,0_0_4,,,4,1700,
0_0_5,,0_0_5,,,5,2200,
0_0_6,,0_0_6,,,6,2500,
0_0_7,,0_0_7,,,7,2500,
0_0_8,,0_0_8,,,8,2500,
0_0_9,,0_0_9,,,9,2500,
0_0_10,,0_0_10,,,10,2700,
0_0_11,,0_0_11,,,11,3000,
0_0_12,,0_0_12,,,12,3300,
0_0_13,,0_0_13,,,13,3600,
0_0_14,,0_0_14,,,14,3900,
0_0_15,,0_0_15,,,15,4000,
0_0_16,,0_0_16,,,16,4200,
0_0_17,,0_0_17,,,17,4600,
0_0_18,,0_0_18,,,18,5500,
0_0_19,,0_0_19,,,19,6200,
0_0_20,,0_0_20,,,20,9600,
0_0_21,,0_0_21,,,21,10700,
0_0_22,,0_0_22,,,22,11900,
0_0_23,,0_0_23,,,23,13300,
0_0_24,,0_0_24,,,24,14800,
0_0_25,,0_0_25,,,25,15500,
0_0_26,,0_0_26,,,26,16100,
0_0_27,,0_0_27,,,27,16800,
0_0_28,,0_0_28,,,28,17500,
0_0_29,,0_0_29,,,29,18300,
0_0_30,,0_0_30,,,30,19000,
0_0_31,,0_0_31,,,31,23000,
0_0_32,,0_0_32,,,32,24000,
0_0_33,,0_0_33,,,33,26000,
0_0_34,,0_0_34,,,34,27000,
0_0_35,,0_0_35,,,35,29000,
0_0_36,,0_0_36,,,36,32000,
0_0_37,,0_0_37,,,37,34000,
0_0_38,,0_0_38,,,38,37000,
0_0_39,,0_0_39,,,39,41000,
0_0_40,,0_0_40,,,40,44000,
0_0_41,,0_0_41,,,41,47000,
0_0_42,,0_0_42,,,42,54000,
0_0_43,,0_0_43,,,43,67000,
0_0_44,,0_0_44,,,44,82000,
0_0_45,,0_0_45,,,45,97000,
0_0_46,,0_0_46,,,46,114000,
0_0_47,,0_0_47,,,47,132000,
0_0_48,,0_0_48,,,48,152000,
0_0_49,,0_0_49,,,49,173000,
0_0_50,,0_0_50,,,50,149000,
0_0_51,,0_0_51,,,51,167000,
0_0_52,,0_0_52,,,52,186000,
0_0_53,,0_0_53,,,53,206000,
0_0_54,,0_0_54,,,54,228000,
0_0_55,,0_0_55,,,55,251000,
0_0_56,,0_0_56,,,56,275000,
0_0_57,,0_0_57,,,57,300000,
0_0_58,,0_0_58,,,58,320000,
0_0_59,,0_0_59,,,59,350000,
0_0_60,,0_0_60,,,60,380000,
0_0_61,,0_0_61,,,61,400000,
0_0_62,,0_0_62,,,62,420000,
0_0_63,,0_0_63,,,63,440000,
0_0_64,,0_0_64,,,64,460000,
0_0_65,,0_0_65,,,65,480000,
0_0_66,,0_0_66,,,66,510000,
0_0_67,,0_0_67,,,67,530000,
0_0_68,,0_0_68,,,68,560000,
0_0_69,,0_0_69,,,69,580000,
0_0_70,,0_0_70,,,70,610000,
0_0_71,,0_0_71,,,71,640000,
0_0_72,,0_0_72,,,72,670000,
0_0_73,,0_0_73,,,73,700000,
0_0_74,,0_0_74,,,74,730000,
0_0_75,,0_0_75,,,75,770000,
0_0_76,,0_0_76,,,76,800000,
0_0_77,,0_0_77,,,77,840000,
0_0_78,,0_0_78,,,78,880000,
0_0_79,,0_0_79,,,79,920000,
0_0_80,,0_0_80,,,80,960000,
0_0_81,,0_0_81,,,81,1000000,
0_0_82,,0_0_82,,,82,1050000,
0_0_83,,0_0_83,,,83,1090000,
0_0_84,,0_0_84,,,84,1140000,
0_0_85,,0_0_85,,,85,1190000,
0_0_86,,0_0_86,,,86,1240000,
0_0_87,,0_0_87,,,87,1300000,
0_0_88,,0_0_88,,,88,1350000,
0_0_89,,0_0_89,,,89,1410000,
0_0_90,,0_0_90,,,90,1470000,
0_1_1,,0_1_1,,1,1,750,
0_1_2,,0_1_2,,1,2,1000,
0_1_3,,0_1_3,,1,3,1200,
0_1_4,,0_1_4,,1,4,1700,
0_1_5,,0_1_5,,1,5,2200,
0_1_6,,0_1_6,,1,6,2500,
0_1_7,,0_1_7,,1,7,2500,
0_1_8,,0_1_8,,1,8,2500,
0_1_9,,0_1_9,,1,9,2500,
0_1_10,,0_1_10,,1,10,2700,
0_1_11,,0_1_11,,1,11,3000,
