Key,Remarks,id,goodsId,type,storeId,count,costType,cost,prob,level,abc,abc1,abc2,superGoods,exchangeTime
1,,1,704009,1,1001,1,1,36000,10,1_90,0.5,1.2,60,,
2,,2,704001,1,1001,1,1,51000,10,1_90,0.5,1.2,85,,
3,,3,704019,2,1001,1,1,36000,10,1_90,0.5,1.2,60,,
4,,4,704004,2,1001,1,1,36000,10,1_90,0.5,1.2,60,,
5,,5,803001,3,1001,10,1,6000,10,1_90,0.25,1.2,1,,
6,,6,803002,3,1001,5,1,30000,10,1_90,0.25,1.2,10,,
7,,7,803003,3,1001,5,2,238,10,30_90,0.25,0.95,50,,
8,,8,803004,3,1001,5,2,950,10,30_90,0.25,0.95,200,,
9,,9,700001,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
10,,10,700013,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
11,,11,700025,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
12,,12,700001,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
13,,13,700061,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
14,,14,700073,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
15,,15,700091,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
16,,16,700100,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
17,,17,700112,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
18,,18,700124,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
19,,19,700136,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
20,,20,700148,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
21,,21,700157,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
22,,22,700174,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
23,,23,700181,4,1001,1,1,2000,10,1_90,3.7037037037037035E-2,1.2,3,,
24,,24,700002,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
25,,25,700014,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
26,,26,700026,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
27,,27,700038,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
28,,28,700062,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
29,,29,700074,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
30,,30,700101,4,1001,1,1,4000,10,1_90,3.7037037037037035E-2,1.2,6,,
