Key,Remarks,ID,poolId,rewardItemId,count,weight,isGuarantee,isShow,isPreview,isPiece
1,,1,1,806551,1,5000,,1,,
2,,2,1,806552,1,5000,,1,,
3,,3,2,806553,1,10000,1,1,,
4,,4,3,15,1,10000,,,,
5,,5,21,806501,10,2064,,1,,
6,,6,21,806502,10,412,,1,,
7,,7,21,806503,5,229,,1,,
8,,8,21,806504,3,129,,1,,
9,,9,21,806505,1,114,,1,1,
10,,10,21,806506,10,2064,,1,,
11,,11,21,806507,10,412,,1,,
12,,12,21,806508,5,229,,1,,
13,,13,21,806509,3,129,,1,,
14,,14,21,806510,1,114,,1,1,
15,,15,21,806511,5,1032,,1,,
16,,16,21,806512,5,1032,,1,,
17,,17,21,806513,5,1032,,1,,
18,,18,21,806514,5,1032,,1,,
19,,19,21,806515,5,1032,,1,,
20,,20,21,806516,5,1032,,1,,
21,,21,21,806551,1,412,,1,1,
22,,22,21,806552,1,412,,1,1,
23,,23,21,806553,1,32,,1,,
24,,24,22,806501,10,2064,,1,,
25,,25,22,806502,10,412,,1,,
26,,26,22,806503,5,229,,1,,
27,,27,22,806504,3,129,,1,,
28,,28,22,806505,1,114,,1,1,
29,,29,22,806506,10,2064,,1,,
30,,30,22,806507,10,412,,1,,
31,,31,22,806508,5,229,,1,,
32,,32,22,806509,3,129,,1,,
33,,33,22,806510,1,114,,1,1,
34,,34,22,806511,5,774,,1,,
35,,35,22,806512,5,774,,1,,
36,,36,22,806513,5,774,,1,,
37,,37,22,806514,5,774,,1,,
38,,38,22,806515,5,774,,1,,
39,,39,22,806516,5,774,,1,,
40,,40,22,806517,5,774,,1,,
41,,41,22,806518,5,774,,1,,
42,,42,22,806551,1,412,,1,1,
43,,43,22,806552,1,412,,1,1,
44,,44,22,806553,1,32,,1,,
