Key,Remarks,id,times,numbers,cost
170101_1,,170101,1,2,2_50
170101_2,,170101,2,2,2_100
170101_3,,170101,3,2,2_200
170101_4,,170101,4,2,2_500
170101_5,,170101,5,2,2_1000
170101_6,,170101,6,2,2_1500
170101_7,,170101,7,2,2_2000
170101_8,,170101,8,2,2_2500
170101_9,,170101,9,2,2_3000
170101_10,,170101,10,2,2_3500
170101_11,,170101,11,2,2_4000
170101_12,,170101,12,2,2_4500
170101_13,,170101,13,2,2_5000
170101_14,,170101,14,2,2_5500
170101_15,,170101,15,2,2_6000
170201_1,,170201,1,2,2_50
170201_2,,170201,2,2,2_100
170201_3,,170201,3,2,2_200
170201_4,,170201,4,2,2_500
170201_5,,170201,5,2,2_1000
170201_6,,170201,6,2,2_1500
170201_7,,170201,7,2,2_2000
170201_8,,170201,8,2,2_2500
170201_9,,170201,9,2,2_3000
170201_10,,170201,10,2,2_3500
170201_11,,170201,11,2,2_4000
170201_12,,170201,12,2,2_4500
170201_13,,170201,13,2,2_5000
170201_14,,170201,14,2,2_5500
170201_15,,170201,15,2,2_6000
170301_1,,170301,1,2,2_50
170301_2,,170301,2,2,2_100
170301_3,,170301,3,2,2_200
170301_4,,170301,4,2,2_500
170301_5,,170301,5,2,2_1000
170301_6,,170301,6,2,2_1500
170301_7,,170301,7,2,2_2000
170301_8,,170301,8,2,2_2500
170301_9,,170301,9,2,2_3000
170301_10,,170301,10,2,2_3500
170301_11,,170301,11,2,2_4000
170301_12,,170301,12,2,2_4500
170301_13,,170301,13,2,2_5000
170301_14,,170301,14,2,2_5500
170301_15,,170301,15,2,2_6000
170401_1,,170401,1,2,2_50
170401_2,,170401,2,2,2_100
170401_3,,170401,3,2,2_200
170401_4,,170401,4,2,2_500
170401_5,,170401,5,2,2_1000
170401_6,,170401,6,2,2_1500
170401_7,,170401,7,2,2_2000
170401_8,,170401,8,2,2_2500
170401_9,,170401,9,2,2_3000
170401_10,,170401,10,2,2_3500
170401_11,,170401,11,2,2_4000
170401_12,,170401,12,2,2_4500
170401_13,,170401,13,2,2_5000
170401_14,,170401,14,2,2_5500
170401_15,,170401,15,2,2_6000
170501_1,,170501,1,2,2_50
170501_2,,170501,2,2,2_100
170501_3,,170501,3,2,2_200
170501_4,,170501,4,2,2_500
170501_5,,170501,5,2,2_1000
170501_6,,170501,6,2,2_1500
170501_7,,170501,7,2,2_2000
170501_8,,170501,8,2,2_2500
170501_9,,170501,9,2,2_3000
170501_10,,170501,10,2,2_3500
170501_11,,170501,11,2,2_4000
170501_12,,170501,12,2,2_4500
170501_13,,170501,13,2,2_5000
170501_14,,170501,14,2,2_5500
170501_15,,170501,15,2,2_6000
170601_1,,170601,1,2,2_50
170601_2,,170601,2,2,2_100
170601_3,,170601,3,2,2_200
170601_4,,170601,4,2,2_500
170601_5,,170601,5,2,2_1000
170601_6,,170601,6,2,2_1500
170601_7,,170601,7,2,2_2000
170601_8,,170601,8,2,2_2500
170601_9,,170601,9,2,2_3000
170601_10,,170601,10,2,2_3500
170601_11,,170601,11,2,2_4000
170601_12,,170601,12,2,2_4500
170601_13,,170601,13,2,2_5000
170601_14,,170601,14,2,2_5500
170601_15,,170601,15,2,2_6000
