Key,Remarks,id,name,battleTime,copyId,monsterTeam1,monsterTeam2,monsterTeam3,scoreGain,reward,mailReward,mail
200003_1,,200003,韦护,1,170101,170101_1,170101_2,170101_3,50,801001_10,704019_1,13001
204001_1,,204001,龙吉公主,1,170201,170201_1,170201_2,170201_3,50,801001_12,704004_1,13002
204004_1,,204004,李靖,1,170202,170202_1,170202_2,170202_3,50,801001_12,704011_1,13003
200011_1,,200011,郑伦,1,170203,170203_1,170203_2,170203_3,50,801001_12,704041_1,13004
201012_1,,201012,陈奇,1,170204,170204_1,170204_2,170204_3,50,801001_12,704040_1,13005
200001_1,,200001,金吒,1,170301,170301_1,170301_2,170301_3,50,801001_14,704018_1,13006
201004_1,,201004,木吒,1,170302,170302_1,170302_2,170302_3,50,801001_14,704009_1,13007
202001_1,,202001,姜子牙,1,170303,170303_1,170303_2,170303_3,50,801001_14,704001_1,13008
200002_1,,200002,杨森,1,170401,170401_1,170401_2,170401_3,50,801001_16,704016_1,13009
204003_1,,204003,武吉,1,170402,170402_1,170402_2,170402_3,50,801001_16,704013_1,13010
202005_1,,202005,云中子,1,170403,170403_1,170403_2,170403_3,50,801001_16,704020_1,13011
203002_1,,203002,雷震子,1,170501,170501_1,170501_2,170501_3,50,801001_18,704014_1,13012
204002_1,,204002,李兴霸,1,170502,170502_1,170502_2,170502_3,50,801001_18,704027_1,13013
202004_1,,202004,喜媚儿,1,170503,170503_1,170503_2,170503_3,50,801001_18,704010_1,13014
202002_1,,202002,哪吒,1,170601,170601_1,170601_2,170601_3,50,801001_20,704002_1,13015
201001_1,,201001,杨戬,1,170602,170602_1,170602_2,170602_3,50,801001_20,704003_1,13016
204005_1,,204005,高友乾,1,170603,170603_1,170603_2,170603_3,50,801001_20,704024_1,13017
