key,Remarks,uniqueId,level,maxLevel,floor,minFightingRatio,maxFightingRatio,robotId,fk,fk1,fk2
1,,1,27,27,1,0.45,0.55,450,21,83417,41708
2,,2,27,27,2,0.55,0.65,451,21,83417,50050
3,,3,27,27,3,0.65,0.75,452,22,83417,58391
4,,4,27,27,4,0.75,0.85,453,24,83417,66733
5,,5,27,27,5,0.85,0.95,454,24,83417,75075
6,,6,27,27,6,0.95,1.05,455,26,83417,83417
7,,7,27,27,7,0.95,1.05,456,26,83417,83417
8,,8,27,27,8,0.95,1.05,457,26,83417,83417
9,,9,27,27,9,0.95,1.05,458,26,83417,83417
10,,10,27,27,10,0.95,1.05,459,26,83417,83417
11,,11,27,27,11,1.05,1.15,460,27,83417,91758
12,,12,27,27,12,1.05,1.15,461,27,83417,91758
13,,13,27,27,13,1.05,1.15,462,27,83417,91758
14,,14,27,27,14,1.05,1.15,463,27,83417,91758
15,,15,27,27,15,1.05,1.15,464,27,83417,91758
16,,16,28,28,1,0.45,0.55,465,22,124150,62075
17,,17,28,28,2,0.55,0.65,466,24,124150,74490
18,,18,28,28,3,0.65,0.75,467,27,124150,86905
19,,19,28,28,4,0.75,0.85,468,27,124150,99320
20,,20,28,28,5,0.85,0.95,469,27,124150,111735
21,,21,28,28,6,0.95,1.05,470,27,124150,124150
22,,22,28,28,7,0.95,1.05,471,27,124150,124150
23,,23,28,28,8,0.95,1.05,472,27,124150,124150
24,,24,28,28,9,0.95,1.05,473,27,124150,124150
25,,25,28,28,10,0.95,1.05,474,27,124150,124150
26,,26,28,28,11,1.05,1.15,475,30,124150,136565
27,,27,28,28,12,1.05,1.15,476,30,124150,136565
28,,28,28,28,13,1.05,1.15,477,30,124150,136565
29,,29,28,28,14,1.05,1.15,478,30,124150,136565
30,,30,28,28,15,1.05,1.15,479,30,124150,136565
31,,31,29,29,1,0.45,0.55,480,23,127680,63840
32,,32,29,29,2,0.55,0.65,481,25,127680,76608
33,,33,29,29,3,0.65,0.75,482,27,127680,89376
34,,34,29,29,4,0.75,0.85,483,27,127680,102144
35,,35,29,29,5,0.85,0.95,484,27,127680,114912
36,,36,29,29,6,0.95,1.05,485,28,127680,127680
37,,37,29,29,7,0.95,1.05,486,28,127680,127680
38,,38,29,29,8,0.95,1.05,487,28,127680,127680
39,,39,29,29,9,0.95,1.05,488,28,127680,127680
40,,40,29,29,10,0.95,1.05,489,28,127680,127680
41,,41,29,29,11,1.05,1.15,490,31,127680,140448
42,,42,29,29,12,1.05,1.15,491,31,127680,140448
43,,43,29,29,13,1.05,1.15,492,31,127680,140448
44,,44,29,29,14,1.05,1.15,493,31,127680,140448
45,,45,29,29,15,1.05,1.15,494,31,127680,140448
46,,46,30,30,1,0.45,0.55,495,24,135478,67739
47,,47,30,30,2,0.55,0.65,496,26,135478,81286
48,,48,30,30,3,0.65,0.75,497,27,135478,94834
49,,49,30,30,4,0.75,0.85,498,27,135478,108382
50,,50,30,30,5,0.85,0.95,499,27,135478,121930
51,,51,30,30,6,0.95,1.05,500,29,135478,135478
52,,52,30,30,7,0.95,1.05,501,29,135478,135478
53,,53,30,30,8,0.95,1.05,502,29,135478,135478
54,,54,30,30,9,0.95,1.05,503,29,135478,135478
55,,55,30,30,10,0.95,1.05,504,29,135478,135478
56,,56,30,30,11,1.05,1.15,505,33,135478,149025
57,,57,30,30,12,1.05,1.15,506,33,135478,149025
58,,58,30,30,13,1.05,1.15,507,33,135478,149025
59,,59,30,30,14,1.05,1.15,508,33,135478,149025
60,,60,30,30,15,1.05,1.15,509,33,135478,149025
61,,61,31,31,1,0.45,0.55,510,24,138896,69448
62,,62,31,31,2,0.55,0.65,511,26,138896,83337
63,,63,31,31,3,0.65,0.75,512,27,138896,97227
64,,64,31,31,4,0.75,0.85,513,27,138896,111116
65,,65,31,31,5,0.85,0.95,514,28,138896,125006
66,,66,31,31,6,0.95,1.05,515,30,138896,138896
67,,67,31,31,7,0.95,1.05,516,30,138896,138896
68,,68,31,31,8,0.95,1.05,517,30,138896,138896
69,,69,31,31,9,0.95,1.05,518,30,138896,138896
70,,70,31,31,10,0.95,1.05,519,30,138896,138896
71,,71,31,31,11,1.05,1.15,520,34,138896,152785
72,,72,31,31,12,1.05,1.15,521,34,138896,152785
73,,73,31,31,13,1.05,1.15,522,34,138896,152785
74,,74,31,31,14,1.05,1.15,523,34,138896,152785
75,,75,31,31,15,1.05,1.15,524,34,138896,152785
76,,76,32,32,1,0.45,0.55,525,24,144870,72435
77,,77,32,32,2,0.55,0.65,526,27,144870,86922
78,,78,32,32,3,0.65,0.75,527,27,144870,101409
79,,79,32,32,4,0.75,0.85,528,27,144870,115896
80,,80,32,32,5,0.85,0.95,529,29,144870,130383
81,,81,32,32,6,0.95,1.05,530,31,144870,144870
82,,82,32,32,7,0.95,1.05,531,31,144870,144870
83,,83,32,32,8,0.95,1.05,532,31,144870,144870
84,,84,32,32,9,0.95,1.05,533,31,144870,144870
85,,85,32,32,10,0.95,1.05,534,31,144870,144870
86,,86,32,32,11,1.05,1.15,535,34,144870,159357
87,,87,32,32,12,1.05,1.15,536,34,144870,159357
88,,88,32,32,13,1.05,1.15,537,34,144870,159357
89,,89,32,32,14,1.05,1.15,538,34,144870,159357
90,,90,32,32,15,1.05,1.15,539,34,144870,159357
91,,91,33,33,1,0.45,0.55,540,24,148101,74050
92,,92,33,33,2,0.55,0.65,541,27,148101,88860
93,,93,33,33,3,0.65,0.75,542,27,148101,103670
94,,94,33,33,4,0.75,0.85,543,27,148101,118480
95,,95,33,33,5,0.85,0.95,544,29,148101,133290
96,,96,33,33,6,0.95,1.05,545,32,148101,148101
97,,97,33,33,7,0.95,1.05,546,32,148101,148101
98,,98,33,33,8,0.95,1.05,547,32,148101,148101
99,,99,33,33,9,0.95,1.05,548,32,148101,148101
100,,100,33,33,10,0.95,1.05,549,32,148101,148101
101,,101,33,33,11,1.05,1.15,550,34,148101,162911
102,,102,33,33,12,1.05,1.15,551,34,148101,162911
103,,103,33,33,13,1.05,1.15,552,34,148101,162911
104,,104,33,33,14,1.05,1.15,553,34,148101,162911
105,,105,33,33,15,1.05,1.15,554,34,148101,162911
106,,106,34,34,1,0.45,0.55,555,25,151677,75838
107,,107,34,34,2,0.55,0.65,556,27,151677,91006
108,,108,34,34,3,0.65,0.75,557,27,151677,106173
109,,109,34,34,4,0.75,0.85,558,27,151677,121341
110,,110,34,34,5,0.85,0.95,559,30,151677,136509
111,,111,34,34,6,0.95,1.05,560,33,151677,151677
112,,112,34,34,7,0.95,1.05,561,33,151677,151677
113,,113,34,34,8,0.95,1.05,562,33,151677,151677
114,,114,34,34,9,0.95,1.05,563,33,151677,151677
115,,115,34,34,10,0.95,1.05,564,33,151677,151677
116,,116,34,34,11,1.05,1.15,565,34,151677,166844
117,,117,34,34,12,1.05,1.15,566,34,151677,166844
118,,118,34,34,13,1.05,1.15,567,34,151677,166844
119,,119,34,34,14,1.05,1.15,568,34,151677,166844
120,,120,34,34,15,1.05,1.15,569,34,151677,166844
121,,121,35,35,1,0.45,0.55,570,27,179793,89896
122,,122,35,35,2,0.55,0.65,571,27,179793,107875
123,,123,35,35,3,0.65,0.75,572,28,179793,125855
124,,124,35,35,4,0.75,0.85,573,31,179793,143834
125,,125,35,35,5,0.85,0.95,574,34,179793,161813
126,,126,35,35,6,0.95,1.05,575,34,179793,179793
127,,127,35,35,7,0.95,1.05,576,34,179793,179793
128,,128,35,35,8,0.95,1.05,577,34,179793,179793
129,,129,35,35,9,0.95,1.05,578,34,179793,179793
130,,130,35,35,10,0.95,1.05,579,34,179793,179793
131,,131,35,35,11,1.05,1.15,580,38,179793,197772
132,,132,35,35,12,1.05,1.15,581,38,179793,197772
133,,133,35,35,13,1.05,1.15,582,38,179793,197772
134,,134,35,35,14,1.05,1.15,583,38,179793,197772
135,,135,35,35,15,1.05,1.15,584,38,179793,197772
136,,136,36,36,1,0.45,0.55,585,27,183138,91569
137,,137,36,36,2,0.55,0.65,586,27,183138,109882
138,,138,36,36,3,0.65,0.75,587,29,183138,128196
139,,139,36,36,4,0.75,0.85,588,32,183138,146510
140,,140,36,36,5,0.85,0.95,589,34,183138,164824
141,,141,36,36,6,0.95,1.05,590,35,183138,183138
142,,142,36,36,7,0.95,1.05,591,35,183138,183138
143,,143,36,36,8,0.95,1.05,592,35,183138,183138
144,,144,36,36,9,0.95,1.05,593,35,183138,183138
145,,145,36,36,10,0.95,1.05,594,35,183138,183138
146,,146,36,36,11,1.05,1.15,595,38,183138,201451
147,,147,36,36,12,1.05,1.15,596,38,183138,201451
148,,148,36,36,13,1.05,1.15,597,38,183138,201451
149,,149,36,36,14,1.05,1.15,598,38,183138,201451
150,,150,36,36,15,1.05,1.15,599,38,183138,201451
151,,151,37,37,1,0.45,0.55,600,27,185700,92850
152,,152,37,37,2,0.55,0.65,601,27,185700,111420
153,,153,37,37,3,0.65,0.75,602,29,185700,129990
154,,154,37,37,4,0.75,0.85,603,33,185700,148560
155,,155,37,37,5,0.85,0.95,604,34,185700,167130
156,,156,37,37,6,0.95,1.05,605,36,185700,185700
157,,157,37,37,7,0.95,1.05,606,36,185700,185700
158,,158,37,37,8,0.95,1.05,607,36,185700,185700
159,,159,37,37,9,0.95,1.05,608,36,185700,185700
160,,160,37,37,10,0.95,1.05,609,36,185700,185700
161,,161,37,37,11,1.05,1.15,610,38,185700,204270
162,,162,37,37,12,1.05,1.15,611,38,185700,204270
163,,163,37,37,13,1.05,1.15,612,38,185700,204270
164,,164,37,37,14,1.05,1.15,613,38,185700,204270
