id,remarks,id,factor
1,,1,0.43209999999999998
2,,2,0.38429999999999997
3,,3,0.3458
4,,4,0.31459999999999999
5,,5,0.28849999999999998
6,,6,0.26629999999999998
7,,7,0.1099
8,,8,0.1026
9,,9,9.6199999999999994E-2
10,,10,8.5500000000000007E-2
11,,11,8.1199999999999994E-2
12,,12,7.7399999999999997E-2
13,,13,6.1800000000000001E-2
14,,14,5.8900000000000001E-2
15,,15,5.62E-2
16,,16,5.3699999999999998E-2
17,,17,5.1499999999999997E-2
18,,18,3.5000000000000003E-2
19,,19,3.1199999999999999E-2
20,,20,6.83E-2
21,,21,6.5600000000000006E-2
22,,22,4.7399999999999998E-2
23,,23,4.53E-2
24,,24,4.3400000000000001E-2
25,,25,4.1399999999999999E-2
26,,26,1.6299999999999999E-2
27,,27,1.5800000000000002E-2
28,,28,1.35E-2
29,,29,1.3100000000000001E-2
30,,30,1.26E-2
31,,31,1.23E-2
32,,32,1.2E-2
33,,33,1.1599999999999999E-2
34,,34,1.1299999999999999E-2
35,,35,1.0800000000000001E-2
36,,36,8.8999999999999999E-3
37,,37,8.6E-3
38,,38,8.5000000000000006E-3
39,,39,7.7000000000000002E-3
40,,40,7.4999999999999997E-3
41,,41,6.7000000000000002E-3
42,,42,6.3E-3
43,,43,6.0000000000000001E-3
44,,44,5.7999999999999996E-3
45,,45,5.7000000000000002E-3
46,,46,5.4999999999999997E-3
47,,47,5.1999999999999998E-3
48,,48,5.1000000000000004E-3
49,,49,5.0000000000000001E-3
50,,50,4.1000000000000003E-3
51,,51,4.0000000000000001E-3
52,,52,3.8E-3
53,,53,3.7000000000000002E-3
54,,54,3.5999999999999999E-3
55,,55,3.5000000000000001E-3
56,,56,3.5000000000000001E-3
57,,57,3.3999999999999998E-3
58,,58,3.3E-3
59,,59,3.2000000000000002E-3
60,,60,3.2000000000000002E-3
