id,remarks,id,survivalCount,award,awardId
1,,1,1,"1_16800,806132_1",18002
2,,2,2,"1_33600,806132_2",18002
3,,3,3,"1_50400,806132_3",18002
4,,4,4,"1_67200,806132_4",18002
5,,5,5,"1_84000,806132_5",18002
6,,6,6,"1_100800,806132_6",18002
7,,7,7,"1_117600,806132_7",18002
8,,8,8,"1_134400,806132_8",18002
9,,9,9,"1_151200,806132_9",18002
10,,10,10,"1_168000,806132_10",18002
11,,11,15,"1_252000,806132_15",18002
12,,12,20,"1_336000,806132_20",18002
13,,13,25,"1_420000,806132_25",18002
14,,14,30,"1_504000,806132_30",18002
15,,15,35,"1_588000,806132_35",18002
16,,16,40,"1_672000,806132_40",18002
17,,17,45,"1_756000,806132_45",18002
18,,18,50,"1_840000,806132_50",18002
19,,19,60,"1_1008000,806132_60",18002
20,,20,70,"1_1008000,806132_60",18002
21,,21,80,"1_1008000,806132_60",18002
22,,22,90,"1_1008000,806132_60",18002
23,,23,100,"1_1008000,806132_60",18002
24,,24,120,"1_1008000,806132_60",18002
25,,25,140,"1_1008000,806132_60",18002
26,,26,160,"1_1008000,806132_60",18002
27,,27,180,"1_1008000,806132_60",18002
28,,28,200,"1_1008000,806132_60",18002
29,,29,240,"1_1008000,806132_60",18002
30,,30,280,"1_1008000,806132_60",18002
31,,31,320,"1_1008000,806132_60",18002
32,,32,360,"1_1008000,806132_60",18002
33,,33,400,"1_1008000,806132_60",18002
34,,34,460,"1_1008000,806132_60",18002
35,,35,520,"1_1008000,806132_60",18002
36,,36,580,"1_1008000,806132_60",18002
37,,37,640,"1_1008000,806132_60",18002
38,,38,700,"1_1008000,806132_60",18002
39,,39,760,"1_1008000,806132_60",18002
40,,40,820,"1_1008000,806132_60",18002
41,,41,880,"1_1008000,806132_60",18002
42,,42,940,"1_1008000,806132_60",18002
43,,43,1000,"1_1008000,806132_60",18002
