id,remarks,id,factor
1,,1,0.18
2,,2,0.18
3,,3,0.18
4,,4,0.18
5,,5,0.18
6,,6,0.18
7,,7,0.18
8,,8,0.18
9,,9,0.18
10,,10,0.18
11,,11,0.18
12,,12,0.18
13,,13,0.18
14,,14,0.18
15,,15,0.18
16,,16,0.18
17,,17,0.18
18,,18,0.18
19,,19,0.18
20,,20,0.18
21,,21,0.19
22,,22,0.27
23,,23,0.28
24,,24,0.29
25,,25,0.31
26,,26,0.78
27,,27,0.8
28,,28,0.93
29,,29,0.96
30,,30,1
31,,31,1.03
32,,32,1.06
33,,33,1.09
34,,34,1.12
35,,35,1.17
36,,36,1.41
37,,37,1.46
38,,38,1.49
39,,39,1.63
40,,40,1.67
41,,41,1.9
42,,42,2
43,,43,2.1
44,,44,2.16
45,,45,2.23
46,,46,2.31
47,,47,2.41
48,,48,2.46
49,,49,2.51
50,,50,3.06
51,,51,3.12
52,,52,3.36
53,,53,3.43
54,,54,3.51
55,,55,3.57
56,,56,3.65
57,,57,3.71
58,,58,3.84
59,,59,3.89
60,,60,3.93
