key,Remarks,predDef,predName,desc
1000001,,"player.level >=1 & isPlotTrigger(""110000"",""5"")",,
1000002,,"player.level >=1 & isPlotTrigger(""110010"",""5"")",,
1000003,,"player.level >=1 & isPlotTrigger(""110030"",""5"")",,
1000004,,"player.level >=1 & isPlotTrigger(""110050"",""5"")",,
1000005,,"player.level >=1 & isPlotTrigger(""110040"",""5"")",,
1000006,,player.level >=2,,
1000101,,player.level >=1,,
1000102,,player.level >=8,,
1000103,,"player.level >=1 & isPlotTrigger(""110101_9"",""8"")",,
1000104,,"player.level >=1 & isPlotTrigger(""110105_0"",""4"")",,
1000200,,isBattling() & player.level >= 17,,
1000201,,player.level >=17,,
1000202,,player.level >=18,,
1000300,,player.level >= 14 & isEliteMap(),,
1000301,,player.level >=14,,
1000302,,player.level >=15,,
1000401,,player.level >=19,,
1000402,,player.level >=20,,
1000501,,player.level >=15,,
1000502,,player.level >=16,,
1000601,,player.level >=98,,
1000602,,player.level >=99,,
1000701,,player.level >=26,,
1000702,,player.level >=27,,
1000801,,player.level >=23,,
1000802,,player.level >=24,,
1000901,,player.level >=18,,
1000902,,player.level >=19,,
1001001,,player.level >=20,,
1001002,,player.level >=21,,
1001101,,player.level >=98,,
1001102,,player.level >=99,,
1001201,,player.level >=28,,
1001202,,player.level >=29,,
1001301,,player.level >=27,,
1001302,,player.level >=28,,
1001401,,player.level >=31,,
1001402,,player.level >=32,,
1001501,,player.level >=32,,
1001502,,player.level >=33,,
1001601,,player.level >=35,,
1001602,,player.level >=36,,
1001701,,player.level >=98,,
1001702,,player.level >=99,,
1001801,,player.level >=98,,
1001802,,player.level >=99,,
1001901,,player.level >=9,,
1001902,,player.level >=10,,
1002001,,player.level >=18,,
1002002,,player.level >=19,,
1002201,,"player.level >=13 & !IsVisible(""UINotice"")",,
1002202,,isCareerSelected(),,
1002203,,"player.level >=13 & isPlotTrigger(""200001"",""5"")",,
1002204,,player.level >65 & !isCareerSelected(),,
1002301,,"isCurrentCheckpoint(""110207"",""0"")",,
1002302,,"isCurrentCheckpoint(""110208"",""0"")",,
1002303,,"hasHero(""204001"",""Embattle_Copy"")",,
