key,Remarks,roleId,openLv,prior,extraNum1,extraLv1,extraValue1,extraNum2,extraLv2,extraValue2,extraNum3,extraLv3,extraValue3
202001,,202001,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
202002,,202002,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
201001,,201001,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
204001,,204001,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
203001,,203001,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
201002,,201002,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
201003,,201003,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
202003,,202003,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
201005,,201005,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
201004,,201004,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
202004,,202004,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
204004,,204004,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
202006,,202006,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
204003,,204003,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
203002,,203002,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
203003,,203003,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
200002,,200002,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
204006,,204006,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
200001,,200001,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
200003,,200003,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
202005,,202005,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
200009,,200009,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
200004,,200004,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
200010,,200010,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
204005,,204005,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
201007,,201007,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
203010,,203010,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
204002,,204002,"30,35,40,45,50,55","2,1,3,4,5,6",2,"1,3,5,7","life:150,life:600,life:2400,life:5600",4,"1,3,5,7","life:300,life:1200,life:2800,life:11200",6,"1,3,5,7","life:600,life:1400,life:5600,life:28000"
