key,Remarks,time,jobCost,sexCost
1,,30,130,130
2,,60,140,140
3,,120,150,150
4,,180,160,160
5,,240,170,170
6,,300,180,180
7,,360,190,190
8,,420,200,200
9,,480,210,210
10,,540,220,220
11,,600,230,230
12,,660,240,240
13,,720,250,250
14,,780,260,260
15,,840,270,270
16,,900,280,280
17,,960,290,290
18,,1020,300,300
19,,1080,310,310
20,,1140,320,320
21,,1200,330,330
22,,1260,340,340
23,,1320,350,350
24,,1380,360,360
25,,1440,370,370
26,,1500,380,380
27,,1560,390,390
28,,1620,400,400
29,,1680,410,410
30,,1740,420,420
31,,1800,430,430
32,,1860,440,440
33,,1920,450,450
34,,1980,460,460
35,,2040,470,470
36,,2100,480,480
37,,2160,490,490
38,,2220,500,500
