key,remarks,range,prize
1,,1,"1~63000,2~550,5~800"
2,,2,"1~62000,2~500,5~775"
3,,3,"1~60000,2~450,5~750"
4,,4,"1~58000,2~400,5~725"
5,,5,"1~56000,2~350,5~700"
6,,6,"1~54000,2~340,5~680"
7,,7,"1~52000,2~330,5~660"
8,,8,"1~50000,2~320,5~640"
9,,9,"1~48000,2~310,5~620"
10,,10,"1~46000,2~300,5~600"
11,,"11,20","1~44000,2~250,5~590"
12,,"21,30","1~43000,2~200,5~575"
13,,"31,40","1~41000,2~150,5~560"
14,,"41,50","1~39000,2~130,5~545"
15,,"51,70","1~37000,2~110,5~530"
16,,"71,100","1~35000,2~100,5~515"
17,,"101,200","1~34000,2~90,5~500"
18,,"201,300","1~32000,2~80,5~450"
19,,"301,400","1~30000,2~70,5~425"
20,,"401,500","1~28000,2~60,5~400"
21,,"501,700","1~26000,2~55,5~350"
22,,"701,1000","1~24000,2~55,5~300"
23,,"1001,2000","1~22000,2~55,5~260"
24,,"2001,3000","1~20000,2~50,5~220"
25,,"3001,4000","1~18000,2~50,5~180"
26,,"4001,5000","1~16000,2~50,5~140"
27,,"5001,7000","1~15000,2~45,5~100"
28,,"7001,10000","1~13000,2~45,5~50"
29,,"10001,15000","1~11000,2~45,5~30"
