key,Remarks,roleId,modelId,name,volumeRadius,life,energy,attack,physiqueDef,spiritDef,hit,dodge,attackVampire,critical,criticalHurt,toughness,lifeReceive,energyReceive,energyPerSecond,energyTrans,attackEnergy,struckEnergy,attackHurt,cutHurt,cutCritHurt,resist,addCure,cutCure,doHurt,hardStraight,attackDistance,attackSpeed,moveSpeed,viewRange,lifeGrowUp,attackGrowUp,physicqueDefGrowUp,spiritDefGrowUp,attackType,attackId,skillId01,skillId02,skillId03,skillId04,skillId05,dieSkillId,reactionTime
202001_1,,202001_1,202001,姜子牙,1,491,1000,210,49,62,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",3100,1330,360,450,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,0.35
202001_2,,202001_2,202001,姜子牙,1,491,1000,210,56,71,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",4650,1995,540,675,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,0.35
202001_3,,202001_3,202001,姜子牙,1,491,1000,210,66,83,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",6820,2926,792,990,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,0.35
202001_4,,202001_4,202001,姜子牙,1,491,1000,210,80,101,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",9858,4229,1144,1431,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,0.35
202001_5,,202001_5,202001,姜子牙,1,491,1000,210,107,134,,,,,,,101,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",15500,6650,1800,2250,1,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,0.35
202002_1,,202002_1,202002,哪吒,1,546,1000,234,67,53,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",4030,1729,585,468,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,0.2
202002_2,,202002_2,202002,哪吒,1,546,1000,234,79,63,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",6045,2593,877,702,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,0.2
202002_3,,202002_3,202002,哪吒,1,546,1000,234,95,76,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",8866,3803,1287,1029,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,0.2
202002_4,,202002_4,202002,哪吒,1,546,1000,234,118,94,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",12803,5492,1858,1486,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,0.2
202002_5,,202002_5,202002,哪吒,1,546,1000,234,161,128,,,,,,,118,,5,8,100,200,,,,11,,,0.02,0.5,5,,50,"1,000",20150,8645,2925,2340,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,0.2
201001_1,,201001_1,201001,杨戬,1,706,1000,176,59,75,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",5200,1300,520,650,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,0.15
201001_2,,201001_2,201001,杨戬,1,706,1000,176,70,88,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",7800,1950,780,975,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,0.15
201001_3,,201001_3,201001,杨戬,1,706,1000,176,84,106,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",11440,2860,1144,1430,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,0.15
201001_4,,201001_4,201001,杨戬,1,706,1000,176,105,131,,,,,,,230,,5,8,100,200,,,,11,,,0.02,0.5,3,,50,"1,000",16520,4130,1652,2065,1,20100100_1,20100101_1,20100102_1,20100103_1,20100104_1,,,0.15
