key,Remarks,Id,fov,camPosX,camPosY,camPosZ,camRotateX,camRotateY,camRotateZ,BossBattle,BattleOffset,fightBoundary,BGM
id_1,,id_1,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
id_2,,id_2,36,0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
id_3,,id_3,36,0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
id_4,,id_4,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
id_5,,id_5,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
id_6,,id_6,36,0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
id_7,,id_7,36,-5.17,7.29,-14.43,24.76,42.05,,,3,4.5,Scene/Battle/bg_boss2.mp3
id_8,,id_8,36,-26,4.46,3.46,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
id_9,,id_9,36,,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
id_10,,id_10,36,-1.15,5.98,-14.22,24.76,27.46,,,3,4.5,Scene/Battle/bg_boss2.mp3
id_11,,id_11,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
id_12,,id_12,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
id_13,,id_13,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
id_14,,id_14,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
id_15,,id_15,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
id_16,,id_16,36,0.5,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_boss2.mp3
110000,,110000,36,-26,4.46,3.46,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110101,,110101,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110102,,110102,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110103,,110103,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110104,,110104,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110105,,110105,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110106,,110106,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120101,,120101,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120102,,120102,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120103,,120103,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110201,,110201,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110202,,110202,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110203,,110203,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110204,,110204,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110205,,110205,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110206,,110206,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110207,,110207,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110208,,110208,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110209,,110209,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120201,,120201,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120202,,120202,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120203,,120203,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120204,,120204,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110301,,110301,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110302,,110302,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110303,,110303,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110304,,110304,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110305,,110305,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110306,,110306,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110307,,110307,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110308,,110308,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110309,,110309,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110310,,110310,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110311,,110311,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110312,,110312,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110313,,110313,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110314,,110314,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110315,,110315,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110316,,110316,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110317,,110317,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110318,,110318,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120301,,120301,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120302,,120302,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120303,,120303,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120304,,120304,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120305,,120305,36,-0.2,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120306,,120306,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110401,,110401,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110402,,110402,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110403,,110403,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110404,,110404,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110405,,110405,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110406,,110406,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110407,,110407,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110408,,110408,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110409,,110409,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110410,,110410,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110411,,110411,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110412,,110412,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110413,,110413,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110414,,110414,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110415,,110415,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110416,,110416,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110417,,110417,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110418,,110418,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110419,,110419,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110420,,110420,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110421,,110421,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
120401,,120401,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120402,,120402,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120403,,120403,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120404,,120404,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120405,,120405,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120406,,120406,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
120407,,120407,36,-15.63,5,,,-18.92,,1,3,4.5,Scene/Battle/bg_boss2.mp3
110501,,110501,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110502,,110502,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
110503,,110503,36,0.3,6.79,-12.79,,,,,3,4.5,Scene/Battle/bg_normalbattle.mp3
