Key,Remarks,Id,Type,ModelId,level,HeroAttackRate,HeroPhysicalDefenseRate,HeroMagicDefenseRate,HeroLifeRate,MonsterAttack,MonsterPhysicalDefense,MonsterMagicDefense,MonsterLife,Hide,Enter,Die,Normal,Skill01,Skill02,Skill03,Skill04,Skill05,Scale,AttackType,ViewRange,Speed,AttackRange,ReactionTime,DoHurt,HardStraight,AIGroupId
500003_1,,500003_1,,500003,1,1,,,,,10,8,"3,310",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_2,,500003_2,,500003,2,1,,,,,19,15,"3,655",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_3,,500003_3,,500003,3,1,,,,,19,15,"4,575",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_4,,500003_4,,500003,4,1,,,,,20,15,"4,575",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_5,,500003_5,,500003,5,1,,,,,20,16,"5,495",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_6,,500003_6,,500003,6,1,,,,,28,22,"5,840",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_7,,500003_7,,500003,7,1,,,,,35,27,"6,180",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_8,,500003_8,,500003,8,1,,,,,49,39,"7,790",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_9,,500003_9,,500003,9,1,,,,,64,51,"8,475",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_10,,500003_10,,500003,10,1,,,,,80,64,"10,085",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_11,,500003_11,,500003,11,1,,,,,97,77,"10,425",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_12,,500003_12,,500003,12,1,,,,,106,85,"11,690",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_13,,500003_13,,500003,13,1,,,,,115,93,"13,825",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_14,,500003_14,,500003,14,1,,,,,125,99,"14,930",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_15,,500003_15,,500003,15,1,,,,,134,107,"16,035",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_16,,500003_16,,500003,16,1,,,,,154,123,"16,380",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_17,,500003_17,,500003,17,1,,,,,154,123,"17,490",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_18,,500003_18,,500003,18,1,,,,,163,130,"18,590",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_19,,500003_19,,500003,19,1,,,,,174,138,"19,700",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_20,,500003_20,,500003,20,1,,,,,174,138,"22,625",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_21,,500003_21,,500003,21,1,,,,,231,184,"29,370",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_22,,500003_22,,500003,22,1,,,,,240,192,"29,710",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_23,,500003_23,,500003,23,1,,,,,250,200,"30,865",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_24,,500003_24,,500003,24,1,,,,,251,200,"31,210",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_25,,500003_25,,500003,25,1,,,,,261,208,"32,360",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_26,,500003_26,,500003,26,1,,,,,271,216,"32,705",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_27,,500003_27,,500003,27,1,,,,,281,224,"33,045",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_28,,500003_28,,500003,28,1,,,,,281,225,"34,200",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_29,,500003_29,,500003,29,1,,,,,291,232,"34,540",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_30,,500003_30,,500003,30,1,,,,,301,240,"35,695",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_31,,500003_31,,500003,31,1,,,,,312,248,"36,040",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_32,,500003_32,,500003,32,1,,,,,321,257,"37,190",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_33,,500003_33,,500003,33,1,,,,,331,265,"39,885",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_34,,500003_34,,500003,34,1,,,,,342,273,"41,055",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
500003_35,,500003_35,,500003,35,1,,,,,355,283,"41,665",1,50000308,50000309,50000300_1,,,,,,1,1,32,,4,0.1,0.03,0.25,
