key,Remarks,floor,groupId,bossPro,markId,bossBreakEvenNum,enemyies
1,,1,1,1,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
2,,2,1,1,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
3,,3,1,1,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
4,,4,2,10,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
5,,5,2,10,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
6,,6,2,10,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
7,,7,3,20,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
8,,8,3,20,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
9,,9,3,20,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
10,,10,4,30,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
11,,11,4,30,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
12,,12,4,30,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
13,,13,5,40,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
14,,14,5,40,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
15,,15,5,40,1,1,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
16,,16,6,50,2,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
17,,17,6,50,2,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
18,,18,6,50,2,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
19,,19,7,60,2,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
20,,20,7,60,2,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
21,,21,7,60,2,1,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
