key,Remarks,times,needPurse,skillpoint
1,,1,10,10
2,,2,10,10
3,,3,40,10
4,,4,40,10
5,,5,100,10
6,,6,100,10
7,,7,200,10
8,,8,200,10
9,,9,400,10
10,,10,400,10
11,,11,800,10
12,,12,800,10
13,,13,1000,10
14,,14,1000,10
15,,15,1500,10
16,,16,1500,10
17,,17,2000,10
18,,18,2000,10
19,,19,2500,10
20,,20,2500,10
21,,21,3000,10
22,,22,3000,10
23,,23,3500,10
24,,24,4000,10
25,,25,4500,10
26,,26,5000,10
27,,27,5500,10
28,,28,6000,10
29,,29,6500,10
30,,30,7000,10
31,,31,7500,10
32,,32,8000,10
33,,33,8500,10
34,,34,9000,10
35,,35,9500,10
36,,36,10000,10
37,,37,10500,10
38,,38,11000,10
39,,39,11500,10
40,,40,12000,10
41,,41,12500,10
42,,42,13000,10
43,,43,13500,10
44,,44,14000,10
45,,45,14500,10
46,,46,15000,10
47,,47,15500,10
48,,48,16000,10
49,,49,16500,10
50,,50,17000,10
51,,51,17500,10
52,,52,18000,10
53,,53,18500,10
54,,54,19000,10
55,,55,19500,10
56,,56,20000,10
57,,57,20500,10
58,,58,21000,10
59,,59,21500,10
60,,60,22000,10
61,,61,22500,10
62,,62,23000,10
63,,63,23500,10
64,,64,24000,10
65,,65,24500,10
66,,66,25000,10
67,,67,25500,10
68,,68,26000,10
69,,69,26500,10
70,,70,27000,10
71,,71,27500,10
72,,72,28000,10
73,,73,28500,10
74,,74,29000,10
75,,75,29500,10
76,,76,30000,10
77,,77,30500,10
78,,78,31000,10
79,,79,31500,10
80,,80,32000,10
81,,81,32500,10
82,,82,33000,10
83,,83,33500,10
84,,84,34000,10
85,,85,34500,10
86,,86,35000,10
87,,87,35500,10
88,,88,36000,10
89,,89,36500,10
90,,90,37000,10
91,,91,37500,10
92,,92,38000,10
93,,93,38500,10
94,,94,39000,10
95,,95,39500,10
96,,96,40000,10
97,,97,40500,10
98,,98,41000,10
99,,99,41500,10
100,,100,42000,10
