key,Remarks,times,needPurse,power
1,,1,50,120
2,,2,50,120
3,,3,100,120
4,,4,100,120
5,,5,100,120
6,,6,100,120
7,,7,200,120
8,,8,200,120
9,,9,200,120
10,,10,400,120
11,,11,400,120
12,,12,400,120
13,,13,400,120
14,,14,400,120
15,,15,400,120
16,,16,400,120
17,,17,400,120
18,,18,400,120
19,,19,400,120
20,,20,400,120
21,,21,400,120
22,,22,400,120
23,,23,400,120
24,,24,400,120
25,,25,400,120
26,,26,400,120
27,,27,400,120
28,,28,400,120
29,,29,400,120
30,,30,400,120
31,,31,400,120
32,,32,400,120
33,,33,400,120
34,,34,400,120
35,,35,400,120
36,,36,400,120
37,,37,400,120
38,,38,400,120
39,,39,400,120
40,,40,400,120
41,,41,400,120
42,,42,400,120
43,,43,400,120
44,,44,400,120
45,,45,400,120
46,,46,400,120
47,,47,400,120
48,,48,400,120
49,,49,400,120
50,,50,400,120
51,,51,400,120
52,,52,400,120
53,,53,400,120
54,,54,400,120
55,,55,400,120
56,,56,400,120
57,,57,400,120
58,,58,400,120
59,,59,400,120
60,,60,400,120
61,,61,400,120
62,,62,400,120
63,,63,400,120
64,,64,400,120
65,,65,400,120
66,,66,400,120
67,,67,400,120
68,,68,400,120
69,,69,400,120
70,,70,400,120
71,,71,400,120
72,,72,400,120
73,,73,400,120
74,,74,400,120
75,,75,400,120
76,,76,400,120
77,,77,400,120
78,,78,400,120
79,,79,400,120
80,,80,400,120
81,,81,400,120
82,,82,400,120
83,,83,400,120
84,,84,400,120
85,,85,400,120
86,,86,400,120
87,,87,400,120
88,,88,400,120
89,,89,400,120
90,,90,400,120
91,,91,400,120
92,,92,400,120
93,,93,400,120
94,,94,400,120
95,,95,400,120
96,,96,400,120
97,,97,400,120
98,,1,10,
99,,2,10,
100,,3,40,
101,,4,40,
102,,5,100,
103,,6,100,
104,,7,200,
105,,8,200,
106,,9,400,
107,,10,400,
108,,11,800,
109,,12,800,
110,,13,1000,
111,,14,1000,
112,,15,1500,
113,,16,1500,
114,,17,2000,
115,,18,2000,
116,,19,2500,
117,,20,2500,
118,,21,3000,
119,,22,3000,
