key,Remarks,id,max,noItemProb,whiteProb,greenProb,blueProb,purpleProb,goldProb
10001,,10001,1,20,80,,,,
10002,,10002,1,20,80,,,,
10003,,10003,1,20,80,,,,
10004,,10004,1,20,80,,,,
10005,,10005,1,20,80,,,,
10006,,10006,1,20,80,,,,
10007,,10007,1,25,75,,,,
10008,,10008,1,25,75,,,,
10009,,10009,1,25,75,,,,
10010,,10010,1,25,75,,,,
10011,,10011,1,25,75,,,,
10012,,10012,1,25,75,,,,
10013,,10013,1,30,70,,,,
10014,,10014,1,30,70,,,,
10015,,10015,1,30,70,,,,
10016,,10016,1,30,70,,,,
10017,,10017,1,30,70,,,,
10018,,10018,1,30,70,,,,
10019,,10019,1,30,70,,,,
10020,,10020,1,35,65,,,,
10021,,10021,1,35,65,,,,
10022,,10022,1,35,65,,,,
10023,,10023,1,35,65,,,,
10024,,10024,1,35,65,,,,
10025,,10025,1,35,65,,,,
10026,,10026,1,35,65,,,,
10027,,10027,1,50,50,,,,
10028,,10028,1,50,50,,,,
10029,,10029,1,50,50,,,,
10030,,10030,1,50,50,,,,
10031,,10031,1,50,50,,,,
10032,,10032,1,50,50,,,,
10033,,10033,1,50,50,,,,
10034,,10034,1,60,40,,,,
10035,,10035,1,60,40,,,,
10036,,10036,1,60,40,,,,
10037,,10037,1,60,40,,,,
10038,,10038,1,60,40,,,,
10039,,10039,1,60,40,,,,
10040,,10040,1,60,40,,,,
10041,,10041,1,70,30,,,,
10042,,10042,1,70,30,,,,
10043,,10043,1,70,30,,,,
10044,,10044,1,70,30,,,,
10045,,10045,1,70,30,,,,
10046,,10046,1,70,30,,,,
10047,,10047,1,70,30,,,,
20000,,20000,1,50,50,,,,
20001,,20001,1,50,70,,,,
30001,,30001,1,30,70,,,,
30002,,30002,1,30,70,,,,
30003,,30003,1,30,70,,,,
30004,,30004,1,30,70,,,,
30005,,30005,1,30,70,,,,
30006,,30006,1,30,70,,,,
30007,,30007,1,30,70,,,,
30008,,30008,1,30,70,,,,
30009,,30009,1,30,70,,,,
30010,,30010,1,30,70,,,,
30011,,30011,1,30,70,,,,
30012,,30012,1,30,70,,,,
30013,,30013,1,30,70,,,,
30014,,30014,1,30,70,,,,
30015,,30015,1,30,70,,,,
30016,,30016,1,30,70,,,,
30017,,30017,1,30,70,,,,
30018,,30018,1,30,70,,,,
30019,,30019,1,30,70,,,,
30020,,30020,1,30,70,,,,
30021,,30021,1,30,70,,,,
30022,,30022,1,30,70,,,,
30023,,30023,1,30,70,,,,
30024,,30024,1,30,70,,,,
30025,,30025,1,30,70,,,,
30026,,30026,1,30,70,,,,
30027,,30027,1,30,70,,,,
30028,,30028,1,30,70,,,,
40001,,40001,1,30,70,,,,
40002,,40002,1,30,70,,,,
40003,,40003,1,30,70,,,,
40004,,40004,1,30,70,,,,
40005,,40005,1,30,70,,,,
40011,,40011,1,30,70,,,,
40012,,40012,1,30,70,,,,
40013,,40013,1,30,70,,,,
40014,,40014,1,30,70,,,,
40015,,40015,1,30,70,,,,
50001,,50001,1,30,70,,,,
50002,,50002,1,30,70,,,,
50003,,50003,1,30,70,,,,
50004,,50004,1,30,70,,,,
50005,,50005,1,30,70,,,,
20002,,20002,1,30,70,,,,
90001,,90001,1,30,70,,,,
90002,,90002,1,30,70,,,,
90003,,90003,1,30,70,,,,
90004,,90004,1,30,70,,,,
90005,,90005,1,30,70,,,,
