key,Remarks,id,name,levelType,level,description,startLevelId,endLevelId,levelPicture,rewardNumber,rewardGain,rewardStar,group
1001,,1001,第一章,,,第一章  封神计划,110101,110106,bg_map001,1,807001,9,1
1002,,1002,第一章,1,,第一章  封神计划 · 精英,120101,120103,bg_map001,3,"807002,807003,807004","3,6,9",1
1003,,1003,第二章,,7,第二章  时空旅者,110201,110209,bg_map002,3,"807005,807006,807007","3,8,12",2
1004,,1004,第二章,1,7,第二章  时空旅者 · 精英,120201,120204,bg_map002,3,"807008,807009,807010","3,8,12",2
1005,,1005,第三章,,13,第三章  法宝人类,110301,110318,bg_map003,3,"807011,807012,807013","6,12,18",3
1006,,1006,第三章,1,13,第三章  法宝人类 · 精英,120301,120306,bg_map003,3,"807014,807015,807016","6,12,18",3
1007,,1007,第四章,,25,第四章  金鳌岛众,110401,110421,bg_map004,3,"807017,807018,807019","7,14,21",4
1008,,1008,第四章,1,25,第四章  金鳌岛众 · 精英,120401,120407,bg_map004,3,"807020,807021,807022","7,14,21",4
1009,,1009,第五章,,34,第五章  九龙遗址,110501,110521,bg_map005,3,"807023,807024,807025","7,14,21",5
1010,,1010,第五章,1,34,第五章  九龙遗址 · 精英,120501,120507,bg_map005,3,"807026,807027,807028","7,14,21",5
1011,,1011,第六章,,40,第六章  闻仲现身,110601,110621,bg_map006,3,"807029,807030,807031","7,14,21",6
1012,,1012,第六章,1,40,第六章  闻仲现身 · 精英,120601,120607,bg_map006,3,"807032,807033,807034","7,14,21",6
1013,,1013,第七章,,50,第七章  北海之战,110701,110721,bg_map007,3,"807035,807036,807037","7,14,21",7
1014,,1014,第七章,1,50,第七章  北海之战 · 精英,120701,120707,bg_map007,3,"807038,807039,807040","7,14,21",7
1015,,1015,第八章,,59,第八章  倾世妖姬,110801,110821,bg_map008,3,"807041,807042,807043","7,14,21",8
1016,,1016,第八章,1,59,第八章  倾世妖姬 · 精英,120801,120807,bg_map008,3,"807044,807045,807046","7,14,21",8
1017,,1017,第九章,,67,第九章  重返昆仑,110901,110921,bg_map009,3,"807047,807048,807049","7,14,21",9
1018,,1018,第九章,1,67,第九章  重返昆仑 · 精英,120901,120907,bg_map009,3,"807050,807051,807052","7,14,21",9
1019,,1019,第十章,,75,第十章  昆仑之殇,111001,111021,bg_map010,3,"807053,807054,807055","7,14,21",10
1020,,1020,第十章,1,75,第十章  昆仑之殇 · 精英,121001,121007,bg_map010,3,"807056,807057,807058","7,14,21",10
1021,,1021,第十一章,,83,第十一章  神力觉醒,111101,111121,bg_map011,3,"807059,807060,807061","7,14,21",11
1022,,1022,第十一章,1,83,第十一章  神力觉醒 · 精英,121101,121107,bg_map011,3,"807062,807063,807064","7,14,21",11
