key,Remarks,roleId,nextRoleId,roleType,sex,modelId,camp,name,imageId,atlas,battleIcon,fullEnergyIcon,careerType,soulStoneId,volumeRadius,goodAt,bustImage,summonFlag,summonNumber,risingNumber,title,titleIcon,transform,heroDesc,heroIllustrate,order,group,starLevel,energy,life,attack,physiqueDef,spiritDef,hit,dodge,critical,toughness,lifeReceive,energyReceive,attackVampire,criticalHurt,energyPerSecond,energyTrans,attackEnergy,struckEnergy,attackDistance,attackSpeed,moveSpeed,viewRange,lifeGrowUp,attackGrowUp,physicqueDefGrowUp,spiritDefGrowUp,attackType,attackId,skillId01,skillId02,skillId03,skillId04,skillId05,dieSkillId,qualityId,nameIcon,upNeedCoin,voice,reactionTime,attackHurt,cutHurt,cutCritHurt,resist,addCure,cutCure,doHurt,hardStraight,actionName,soundName,canShow,statInfo,ff1
202001_1,,202001_1,202001_2,,-1,202001,1,姜子牙,head_org/Head_org_JiangZiYa,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_JiangZiYa,Hero_head/head_JiangZiYa_NuQi,3,704001,1,,,,,20,太公望,JiaoBiao_ShuShi_01,8,中排物理输出，强大的支持技能使其成为团队输出与防御不可或缺的单位,昆仑山元始天尊的关门弟子，武吉的师傅,31,,1,1000,749,153,39,32,,,,,49,5,,,5,6,25,200,,,50,"1,000",7028,1440,377,301,,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,202001_1,,50000,Sound_202001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_202001_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,
202001_2,,202001_2,202001_3,,-1,202001,1,姜子牙,head_org/Head_org_JiangZiYa,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_JiangZiYa,Hero_head/head_JiangZiYa_NuQi,3,704001,1,,,,,50,太公望,JiaoBiao_ShuShi_01,21,中排物理输出，强大的支持技能使其成为团队输出与防御不可或缺的单位,昆仑山元始天尊的关门弟子，武吉的师傅,31,,2,1000,749,153,39,32,,,,,49,5,,,5,6,25,200,,,50,"1,000",10542,2160,565,452,,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,202001_1,,100000,Sound_202001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_202001_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,
202001_3,,202001_3,202001_4,,-1,202001,1,姜子牙,head_org/Head_org_JiangZiYa,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_JiangZiYa,Hero_head/head_JiangZiYa_NuQi,3,704001,1,,,1,80,100,太公望,JiaoBiao_ShuShi_02,48,中排物理输出，强大的支持技能使其成为团队输出与防御不可或缺的单位,昆仑山元始天尊的关门弟子，武吉的师傅,31,,3,1000,749,153,39,32,,,,,49,5,,,5,6,25,200,,,50,"1,000",15462,3168,829,663,,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,202001_1,,300000,Sound_202001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_202001_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,姜子牙
202001_4,,202001_4,202001_5,,-1,202001,1,姜子牙,head_org/Head_org_JiangZiYa,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_JiangZiYa,Hero_head/head_JiangZiYa_NuQi,3,704001,1,,,,,150,太公望,JiaoBiao_ShuShi_02,90,中排物理输出，强大的支持技能使其成为团队输出与防御不可或缺的单位,昆仑山元始天尊的关门弟子，武吉的师傅,31,,4,1000,749,153,39,32,,,,,49,5,,,5,6,25,200,,,50,"1,000",22350,4579,1199,959,,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,202001_1,,600000,Sound_202001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_202001_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,
202001_5,,202001_5,,,-1,202001,1,姜子牙,head_org/Head_org_JiangZiYa,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_JiangZiYa,Hero_head/head_JiangZiYa_NuQi,3,704001,1,,,,,300,太公望,JiaoBiao_ShuShi_03,132,中排物理输出，强大的支持技能使其成为团队输出与防御不可或缺的单位,昆仑山元始天尊的关门弟子，武吉的师傅,31,,5,1000,749,153,39,32,,,,,49,5,,,5,6,25,200,,,50,"1,000",35142,7200,1885,1508,,20200100_1,20200101_1,20200102_1,20200103_1,20200104_1,,20200109,202001_1,,1000000,Sound_202001_1_01.mp3,,,,,11,,,,0.5,standby,Sound_202001_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,
202002_1,,202002_1,202002_2,,-1,202002,1,哪吒,head_org/Head_org_NeZha,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_NeZha,Hero_head/head_NeZha_NuQi,3,704002,1,,,,,20,三太子,JiaoBiao_ShuShi_01,8,中排法术输出，善于对敌方前中排造成大范围伤害,昆仑山第三代子弟，陈塘关李靖的幼子,50,,1,1000,683,172,48,38,,,,,38,5,,,5,6,10,200,,,50,"1,000",7131,1805,512,410,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,202002_1,,50000,sound_202002_1_1.mp3,,,,,11,,,,0.5,standby,Sound_202002_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,
202002_2,,202002_2,202002_3,,-1,202002,1,哪吒,head_org/Head_org_NeZha,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_NeZha,Hero_head/head_NeZha_NuQi,3,704002,1,,,,,50,三太子,JiaoBiao_ShuShi_01,21,中排法术输出，善于对敌方前中排造成大范围伤害,昆仑山第三代子弟，陈塘关李靖的幼子,50,,2,1000,683,172,48,38,,,,,38,5,,,5,6,10,200,,,50,"1,000",10697,2707,768,615,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,202002_1,,100000,sound_202002_1_1.mp3,,,,,11,,,,0.5,standby,Sound_202002_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,
202002_3,,202002_3,202002_4,,-1,202002,1,哪吒,head_org/Head_org_NeZha,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_NeZha,Hero_head/head_NeZha_NuQi,3,704002,1,,,1,80,100,三太子,JiaoBiao_ShuShi_02,48,中排法术输出，善于对敌方前中排造成大范围伤害,昆仑山第三代子弟，陈塘关李靖的幼子,50,,3,1000,683,172,48,38,,,,,38,5,,,5,6,10,200,,,50,"1,000",15689,3971,1127,902,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,202002_1,,300000,sound_202002_1_1.mp3,,,,,11,,,,0.5,standby,Sound_202002_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,哪吒
202002_4,,202002_4,202002_5,,-1,202002,1,哪吒,head_org/Head_org_NeZha,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_NeZha,Hero_head/head_NeZha_NuQi,3,704002,1,,,,,150,三太子,JiaoBiao_ShuShi_02,90,中排法术输出，善于对敌方前中排造成大范围伤害,昆仑山第三代子弟，陈塘关李靖的幼子,50,,4,1000,683,172,48,38,,,,,38,5,,,5,6,10,200,,,50,"1,000",22656,5734,1628,1302,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,202002_1,,600000,sound_202002_1_1.mp3,,,,,11,,,,0.5,standby,Sound_202002_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,
202002_5,,202002_5,,,-1,202002,1,哪吒,head_org/Head_org_NeZha,Assets/UIPrefab/Textures/Icon.prefab,Hero_head/head_NeZha,Hero_head/head_NeZha_NuQi,3,704002,1,,,,,300,三太子,JiaoBiao_ShuShi_03,132,中排法术输出，善于对敌方前中排造成大范围伤害,昆仑山第三代子弟，陈塘关李靖的幼子,50,,5,1000,683,172,48,38,,,,,38,5,,,5,6,10,200,,,50,"1,000",35657,9025,2562,2050,,20200200_1,20200201_1,20200202_1,20200203_1,20200204_1,,,202002_1,,1000000,sound_202002_1_1.mp3,,,,,11,,,,0.5,standby,Sound_202002_1_01.mp3,1,远程/范围/爆发;1;0.53;0.7,
