key,Remarks,name,sort,type,digit
lifeGrowUp,,lifeGrowUp,1,2,1
attackGrowUp,,attackGrowUp,2,2,1
physicqueDefGrowUp,,physicqueDefGrowUp,3,2,1
spiritDefGrowUp,,spiritDefGrowUp,4,2,1
life,,life,5,1,
attack,,attack,6,1,
physiqueDef,,physiqueDef,7,1,
spiritDef,,spiritDef,8,1,
hit,,hit,9,1,
dodge,,dodge,10,1,
attackVampire,,attackVampire,11,1,
critical,,critical,12,1,
criticalHurt,,criticalHurt,13,3,1
toughness,,toughness,14,1,
lifeReceive,,lifeReceive,15,1,
energyReceive,,energyReceive,16,1,
attackSpeed,,attackSpeed,17,3,1
attackHurt,,attackHurt,18,3,1
cutHurt,,cutHurt,19,3,1
cutCritHurt,,cutCritHurt,20,3,1
resist,,resist,21,1,
