key,remarks,order,spriteName,spriteId,atlas,career,rank,sex,type
1,,1,Assets/Textures/PackIn/PlayerHead/head_hero,10001,Assets/UIPrefab/Textures/Common.prefab,,,1,1
2,,1,Assets/Textures/PackIn/PlayerHead/head_heroine,10002,Assets/UIPrefab/Textures/Common.prefab,,,,1
3,,1,Assets/Textures/PackIn/PlayerHead/head_hero_tank_01,10003,Assets/UIPrefab/Textures/Common.prefab,1,1,1,1
4,,1,Assets/Textures/PackIn/PlayerHead/head_heroine_tank_01,10004,Assets/UIPrefab/Textures/Common.prefab,1,1,,1
5,,1,Assets/Textures/PackIn/PlayerHead/head_heroine_killer_01,10005,Assets/UIPrefab/Textures/Common.prefab,2,1,,1
6,,1,Assets/Textures/PackIn/PlayerHead/head_hero_killer_01,10006,Assets/UIPrefab/Textures/Common.prefab,2,1,1,1
7,,1,Assets/Textures/PackIn/PlayerHead/head_hero_power_01,10007,Assets/UIPrefab/Textures/Common.prefab,3,1,1,1
8,,1,Assets/Textures/PackIn/PlayerHead/head_heroine_power_01,10008,Assets/UIPrefab/Textures/Common.prefab,3,1,,1
9,,1,Assets/Textures/PackIn/PlayerHead/head_hero_assist_01,10009,Assets/UIPrefab/Textures/Common.prefab,4,1,1,1
10,,1,Assets/Textures/PackIn/PlayerHead/head_heroine_assist_01,10010,Assets/UIPrefab/Textures/Common.prefab,4,1,,1
11,,2,Assets/Textures/PackIn/PlayerHead/head_CangQiongShouWei,10011,Assets/UIPrefab/Textures/Common.prefab,,,,
12,,3,Assets/Textures/PackIn/PlayerHead/head_EMoZhiXin,10012,Assets/UIPrefab/Textures/Common.prefab,,,,
13,,4,Assets/Textures/PackIn/PlayerHead/head_WaiXingFaShi_Lan,10013,Assets/UIPrefab/Textures/Common.prefab,,,,
14,,5,Assets/Textures/PackIn/PlayerHead/head_WuSeShenNiu,10014,Assets/UIPrefab/Textures/Common.prefab,,,,
15,,6,Assets/Textures/PackIn/PlayerHead/head_YiGuangMiXie,10015,Assets/UIPrefab/Textures/Common.prefab,,,,
16,,7,Assets/Textures/PackIn/PlayerHead/head_RanDeng_Q,10016,Assets/UIPrefab/Textures/Common.prefab,,,,
17,,8,Assets/Textures/PackIn/PlayerHead/head_MoLiHai_Q,10017,Assets/UIPrefab/Textures/Common.prefab,,,,
