key,Remarks,word
10001,,ri
10002,,RI
10003,,JP
10004,,Japan
10005,,japan
10006,,Japanese
10007,,japanese
10008,,曰夲
10009,,日本
10010,,日本
10011,,謀殺
10012,,殺人
10013,,吸毒
10014,,販毒
10015,,賭博
10016,,拐賣
10017,,走私
10018,,賣淫
10019,,造反
10020,,監獄
10021,,強姦
10022,,輪奸
10023,,搶劫
10024,,先奸後殺
10025,,下注
10026,,押大
10027,,押小
10028,,抽頭
10029,,坐莊
10030,,賭馬
10031,,賭球
10032,,籌碼
10033,,老虎機
10034,,輪盤賭
10035,,安非他命
10036,,大麻
10037,,可卡因
10038,,海洛因
10039,,冰毒
10040,,搖頭丸
10041,,杜冷丁
10042,,鴉片
10043,,罌粟
10044,,迷幻藥
10045,,白粉
10046,,嗑藥
10047,,道教
10048,,多維
10049,,佛教
10050,,佛祖
10051,,釋迦牟尼
10052,,如來
10053,,阿彌陀佛
10054,,觀世音
10055,,普賢
10056,,文殊
10057,,地藏
10058,,河殤
10059,,回教
10060,,密宗
10061,,摩門教
10062,,穆罕默德
10063,,穆斯林
10064,,升天
10065,,聖母
10066,,聖戰
10067,,耶和華
10068,,耶穌
10069,,伊斯蘭
10070,,真主安拉
10071,,白蓮教
10072,,天主教
10073,,基督教
10074,,東正教
10075,,大法
10076,,法輪
10077,,法輪功
10078,,瘸腿幫
10079,,真理教
10080,,真善忍
10081,,轉法輪
10082,,自焚
10083,,走向圓滿
10084,,黃大仙
10085,,風水
10086,,跳大神
10087,,神漢
10088,,神婆
10089,,大衛教
10090,,閻王
10091,,黑白無常
10092,,牛頭馬面
10093,,藏獨
10094,,高麗棒子
10095,,回回
10096,,疆獨
10097,,蒙古韃子
10098,,台獨
10099,,台獨分子
10100,,台聯
10101,,臺灣民國
10102,,西藏獨立
10103,,新疆獨立
10104,,南蠻
10105,,老毛子
10106,,回民吃豬肉
10107,,毛澤東
10108,,周恩來
10109,,劉少奇
10110,,朱德
10111,,彭德懷
10112,,林彪
10113,,劉伯承
10114,,陳毅
10115,,賀龍
10116,,聶榮臻
10117,,徐向前
10118,,羅榮桓
10119,,葉劍英
10120,,李大釗
10121,,陳獨秀
10122,,孫中山
10123,,孫文
10124,,孫逸仙
10125,,鄧小平
10126,,陳雲
10127,,江澤民
10128,,李鵬
10129,,朱鎔基
10130,,李瑞環
10131,,尉健行
10132,,李嵐清
10133,,胡錦濤
10134,,羅幹
10135,,溫家寶
10136,,吳邦國
10137,,曾慶紅
10138,,賈慶林
10139,,黃菊
10140,,吳官正
10141,,李長春
10142,,吳儀
10143,,回良玉
10144,,曾培炎
10145,,周永康
10146,,曹剛川
10147,,唐家璿
10148,,華建敏
10149,,陳至立
