key,remark,id,title,icon,altar,desc,sortId,quality,preTask,openLevel,superType,finishType,finishParam,reward,achievementPoint,skip,sortId
1001,,1001,主角升级,Skill/10000204,Icon,主角等级达到10级,27,1,-1,,1,1,10,"2_10,803001_5",10,,
1002,,1002,主角升级,Skill/10000204,Icon,主角等级达到15级,28,1,1001,,1,1,15,"2_20,803001_10",10,,
1003,,1003,主角升级,Skill/10000204,Icon,主角等级达到20级,29,1,1002,,1,1,20,"2_30,803001_20",10,,
1004,,1004,主角升级,Skill/10000204,Icon,主角等级达到25级,30,2,1003,,1,1,25,"2_40,803001_30",10,,
1005,,1005,主角升级,Skill/10000204,Icon,主角等级达到30级,31,2,1004,,1,1,30,"2_50,803001_50",10,,
1006,,1006,主角升级,Skill/10000204,Icon,主角等级达到35级,32,2,1005,,1,1,35,"2_60,803001_70",10,,
1007,,1007,主角升级,Skill/10000204,Icon,主角等级达到40级,33,2,1006,,1,1,40,"2_70,803001_90",10,,
1008,,1008,主角升级,Skill/10000204,Icon,主角等级达到45级,34,2,1007,,1,1,45,"2_80,803001_110",10,,
1009,,1009,主角升级,Skill/10000204,Icon,主角等级达到50级,35,2,1008,,1,1,50,"2_90,803001_130",10,,
1010,,1010,主角升级,Skill/10000204,Icon,主角等级达到55级,36,3,1009,,1,1,55,"2_100,803001_150",10,,
1011,,1011,主角升级,Skill/10000204,Icon,主角等级达到60级,37,3,1010,,1,1,60,"2_110,803001_170",10,,
1012,,1012,主角升级,Skill/10000204,Icon,主角等级达到65级,38,3,1011,,1,1,65,"2_120,803001_190",10,,
1013,,1013,英雄数量,Item/801001,Icon,收集5名英雄,39,2,-1,,1,5,5,"803001_5,1_5000",5,,
1014,,1014,英雄数量,Item/801001,Icon,收集6名英雄,40,2,1013,,1,5,6,"803001_10,1_10000",5,,
1015,,1015,英雄数量,Item/801001,Icon,收集7名英雄,41,2,1014,,1,5,7,"803001_15,1_15000",5,,
1016,,1016,英雄数量,Item/801001,Icon,收集8名英雄,42,2,1015,,1,5,8,"803001_20,1_20000",5,,
1017,,1017,英雄数量,Item/801001,Icon,收集9名英雄,43,2,1016,,1,5,9,"803001_25,1_25000",5,,
1018,,1018,英雄数量,Item/801001,Icon,收集10名英雄,44,2,1017,,1,5,10,"803001_30,1_30000",5,,
1019,,1019,英雄数量,Item/801001,Icon,收集11名英雄,45,2,1018,,1,5,11,"803001_35,1_35000",5,,
